Polarity,Review
1,ko tamo peva one best films ever saw tragicomedy deep implications fate humankind shown eyes seemingly plain common people god forsaken serbian province start world war ii saw small movie theater russia film limited distribution chance come across ever since pity excellent film almost forgotten now searched vhs dvd copy many times alas could find none would grateful fans little gem movie making suggestion ways purchase copy
1,quite long time life either like film liked film much many more watched recently at sleepover funnily enough liked done since something appreciate more disney classics watched recently including sleeping beauty pinnochio however spell it i much appreciate animation clever disney plot turns humour mice emotions expressed plot animation well done often seems wherever characters are watching them animation also well portraying styles backgrounds including town which shown twice briefly disney changes original fairy tale surprisingly good way injecting clever plot turns such mice making clothes key part usually like disney films much similar original story overly bothered feel made necessary changes make good disney film often think disney changed book good way films you know story already cinderella girl working horrible stepmother stepsisters goes ball help fairy godmother loses glass slipper this film much watched people immediate family good enough enjoy this recommend watch friends and immediate family like i recommend people like disney least little bit people like fairy tales people like mice enjoy
1,kolchak tv series really did not fit category part horror part comedy social awareness thrown in something think people were not ready for it s shame really i ve started watch shows chiller network i never saw originals realized different interesting really was starring darren mcgavin kolchak reporter international news service simon oakland always angry boss tony vincenzo show followed exploits chicago news reporter often not became part story himself searched windy city modern day creepies go bump night underlying charm macgavin really sets show apart somewhat goofy guy always wears suit cannot help love him jokes great back forth skeptical editor oakland downright hilarious the stories part pretty good acting good s great period special effects show suffers it suspend disbelief fun series ahead it s time
1,it s rare find literary work adequately translated screen may rated film higher deserves much long time student vonnegut s works hesitation recommending film readers least love do casting inspired nolte understated triumph bewildered defeat decisive judgment sheryl lee luscious throughout handling treacherous resi tragic crescendo almost makes forget beauty alan arkin delivers totally lovable equally treacherous soviet spy do feel read mother night appreciate film though have not read mother night probably want viewing film notice shifts color black and white back again do not miss final symbolism campbell s noose watch also kurt vonnegut s cameo near end film bing crosby s white christmas never sound i write mid december song getting heavy radio play it s driving nuts
-1,awful awful old room mate used watch junk drove crazy book one favorites shame people never know really like first impressions dribble like this changed much hardly recognisable baffles since book reads like soap opera anyway providing enough fodder modern day entertainment it s like one lifetime movies say based true story completely fictional none emotion depth book mindless melodrama high school student looking way get reading suggest try another version
1,mom recently become addicted show laughing butts off i ve seen episodes disappointed did not pay attention hilarious series canceled story line funny characters really great personalities or great they re still funny tivo every episode like you amanda bynes jennie garth well cast never leave bored watching unsuitable language children sexual content parental guide near should not much problems sort friends type relationship attracts show really enjoy it
1,okay plain dumb bad horror comedy film reading people switched michael version good trick opinion grown ups hate horrors see one get interested horror films like one maybe never seen it horror possibly comedy uncle sam i ll see renting buying film nd way better one bought one vhs amazon got november day thanksgiving worth four bucks l o l film
1,film mesmerizing beauty creativity artist s profound vision art springs intuitively natural source brings us inspiring hosanna blending creations trees white water dashing rocks fields rain andy goldsworthy makes viewer feel joy alive aware made clay glorious earth does not spare us occasional frustration whole see miracle joining art nature credit also goes course filmmaker thomas riedelsheimer directed photographed edited movie incredible sensibility perfect timing if feeling beauty nature art do miss fantastic film
-1,filmfour going lot better little snot film they re going get right sort reputation themselves this film set glasgow although couple secondary characters anything approaching scottish accent premise people who s lives going nowhere meet cafe early hours morning night jobs could made really funny insightful quirky cultish film instead group self obsessed saddos plot done bits i m suprised has not banned x friends x sleeping z sleeps z well oh figure out a total waste time painful dialogue sounded like something group year olds would written gcse drama project female character completely superfluous written token female hope women would cajoled seeing it if you re sort thicko lad laughs beer adverts usually found wandering round packs shouting saturday nights nondescript town centres love film find a right laff everyone else run do not walk away sorry little misfit and one question group left boring seaside town saltcoats incidentally although changed name film go back glasgow via forton motorway services lancaster england
-1,s d mark piznarski josh hamilton julia stiles jerry o connell jeremy sisto jordana brewster leonard roberts bill smitrovich annie corley charles s dutton nbc mini series later released video dvd full length feature film treacherous s seen eyes white family black family film s first half driven excellent performance dutton reverend willie taylor evenly spreads storyline families however dutton s character killed halfway black family completely forgotten dull incoherent downright awful nd half rating rated later rated pg video dvd release
-1,show suck unfortunately really question doubt does for unfamiliar premise show doomed to be shortlived series cavemen focuses number neanderthals struggle exist modern day america based characters featured series television ads geico insurance concept solid every reason think could executed successfully i think awhile tagline commercials something effect we re much different you provided key show s suckiness even though cavemen neanderthals actually different species humanity title characters show turns out exactly us boring jerks maybe background game writer rather soulless hack committee based writer california show much potential none realized start with producers focused fun things would make cavemen different us what could conceivably funny example giving occupations like perpetual grad student furniture store clerk would compellingly drawn things like subterranean utility workers guides cave parks would play prosaic games like squash whole episode could devoted trying get hunting licenses go game spears show like could write itself takes willfully bad writing make quite crappy boring another tiresome aspect show attempt portray cavemen subjected number stereotypes associated various human minorities yawn done many times before never drearily this and noted previously neanderthals really different species using metaphor racial stereotyping uncompelling mark responses welcome including anyone wants tell i m wrong i d like enjoy show sorry thus far unable to michael j varhola skirmisher online gaming magazine
1,sometimes want laugh do not you analyzing critiquing looking deeper meaning rent movie watch laugh ass off do not want admit liked it fine do not trash know liked it it s damn funny
-1,anti bush jokes get really easy do show like better make sure something extra something extra kid versions political figures making jokes future do not yet it s plain nonsense dick cheney george bush done well dick cheney mutters mostly there s also condoleeza rice crush bush reason donald rumsfeld is not really similar donald rumsfeld all democratic characters rarely give names it s mystery could aside barack obama hilary clinton the episodes coherent stories that s nearly enough keep sinking
-1,others noted excellent hammer style film seems that s actors instructed play it screenplay leaden poorly paced filled lot dull soliloquies poor timothy dalton saddled them it s overblown self important uncharacteristically weak performance dalton although quietly nails climactic scene dr rock finally realizes he s done actor comes really well patrick stewart welcome sight freddie francis may great cinematographer lousy director
1,bit young one see it there s excellent music many folks mentioned one seems notice rare appearance angel mostly ignored quite popular musical outfit wearing trademark white outfits grind th century foxes apparently try cram camera s field vision keyboardist gregg giuffria remains bands highlight apparently never gotten much haircut ever cherie currie ex runaways singer begins brief notable acting career here quite memorable alongside jodie foster rest her topless d scenes parasite ufo sighting wavelength kept us watching time it s masterpiece preserves chunk period gaze upon wonder
-1,bingo game bullshit name rarely screen smeared blown up hodgepodge half baked conspiracy theories puritan prudery new age gibberish bulk story set viciente cristian resort peruvian jungle think tolkien s rivendell meets star trek s planet baku inhabited dimwitted followers not so mysterious surprisingly narrow minded cult love peace thanks gruesome acting tacky production design the rainbow colored visualization mysterious all healing energy particularly hideous the celestine prophecies looks feels like discarded s twilight zone episode factual errors regarding church history nomenclature abound can not believe hector elizondo agreed part this maybe made without consent bowfinger style may lord mercy director screenwriter author novel poor souls see movie read book
-1,stopped watching pos soon snakes started taking over plane at first thought maybe get one comic relief realized could watch three stooges free laugh more whatever respect might samuel jackson irreversibly destroyed hollywood demonstrates removed reality really are kid used catch snakes fun thing snakes would huddle bottom cargo bay amount hollywood cartoon snakes change that this movie is not worth trip blockbuster warned pay it victim dumb ass if want really scared suggest descent want humor go local stand comedy club worst performer million times better trash
-1,disappointing horror film snotty young girl nightmares horror thriller film hype it s way tame tense moments here anywhere near many film genre even tense scenes were not much music made dramatic actually were there lot symbolism here elitist critics label a thinking person s horror film well think it i m sure come conclusion waste money video rental store summary yawner offers unlikeable lead character generally poor acting vastly overrated certainly advertised
1,stunning episode fine series television excellence best story takes place it s beautifully filmed black white almost film noir style deep shadows stark images story two men fall love do not want spoil this rare presentation homosexuals faced s america written superb tom pettit directed great jeannot szwarc move lives love other tragedy taking sensitive issue makes episode stunning emotions torn edge characters chills ran spine end played bob dylan s gorgeous ah much older then i m younger now sung byrds one goes far past way stars beautiful
1,work library expected like movie came years ago well liked parker posey lot she s wonderful actress omar townsend really cute boyfriend he could not act look like cares movie bad was not funny cute much anything posey kept movie afloat energy learned dewey decimal system overnight shelves tons books beat music come on also problem way looked became full fledged librarian end hair bun glasses sense humor can let stereotype go please worth seeing posey townsend that s it tv series much better
1,one john s funniest eugene levy great one well wish studio would figure one needs dvd video tape feel film deserves dvd and extras would great kung fu uuniversity kung fu u skit funny entire film also scenes girlfriend family great movie never seems tv loses it s hilarity edited broadcast tv find video would suggest buy ebay good place find copy keep vhs one day get see dvd many great movies still released dvd one them
1,years we ve watching every horror film comes out dull hollywood retreads like saw awful indie releases completely unmatchable suffer bad films hopes finding little gems like dark remains we managed catch screening film shriekfest audience loved believe ended winning award best film while may budget star power studio films packs serious punch creepy atmosphere scare category acting cinematography top notch it s direction makes film worth view story characters develop right pace provide fantastic scares the editing visual fx also top notch many horror films do not manage use music benefit score dark remains adds it s creepiness i know film shown bunch festivals none near me can not wait hear it ll finally coming dvd trust me even you re sick current state horror films give one try will not regret it
-1,movie sucks ass something heatwave european country complete trash there s nothing going movie whatsoever maybe seconds sex that s it annoying chick hitches rides people really pisses off movie complete rash should not subject watching it regret it s boring would rate zero can not body right mind see this i m sure you ll regret completely did could think something bad even mystery men better mystery men sucks movie was not worth made complete waste time characters hard understand good bored
1,must see film great dialogues great music great acting superb atmosphere in film follow people one day city antwerp individuals sometimes plain weird that s love them i m going say anything else go see enjoy it
-1,there s vogue past years often as not ironic zombie related films well media incarnations flesh eating resurrected dead fido film that s either attempt cash that simply manifestation it falls squarely category ironic zombies joke get see walking dead contrasting context broadly stereotyped squeaky clean alternate history we wake great zombie war creatures domesticated slaves version s suburb it s moderately funny concept own enough perhaps five minute comedy sketch can not hold feature film own joke rotting corpses servants incongruous idealized version small town repeated again loses effectiveness soundtrack relentlessly plays sunny tunes zombies cannibalize bystanders word zombie constantly inserted otherwise familiarly homey line cheap attempt laugh the broadness artificiality representation the nineteen fifties can not help irritate me stylized evidently pleasantville inspired way apparent waving markers s ness around actually bearing resemblance anything might happened something obnoxiously sneering it film bragging emptily thoughtlessly open down to earth superior s are because characters broad representations pop culture s types it s difficult develop much emotional investment them character traits thrown helen obsessed appearances bill loves golf haunted kill father remain quite two dimensional performances within constraints bad writing fine best billy connolly fido zombie tradition boris karloff frankenstein actually imparts character sympathy lumbering green monster cannot speak there little bits unsubtle allegory thrown around commodity fetishism racism classism war paranoia et cetera none really works comprehensive level filmmakers don t really stick anything unfortunately film does not really get past sticking flimsy joke look zombies leave beaver good hour and a half
-1,expecting documentary focused tobacco industry north carolina instead watched man rues fact great grandfather lost tobacco empire duke family went on mr mcelwee s family prevailed dukes doubt mr mcelwee would problems death toll caused tobacco related diseases grew near area mr mcelwee s family began tobacco business expected mcewee s continual focus family learned little history tobacco nc economy ramifications state s economy tighter regulation tobacco countless references movie bright leaves place gary cooper played mr mcelwee s great grandfather viewer gain understanding role tobacco north carolina economy showing old film clips fictionalized film did not
1,make world go away get shoulder say things used say make world go away well dave david hewlett andrew andrew miller pickle one embezzlement kissing child neither guilty faced charges house torn down ended in well nothing whole world except house went away it kind weird funny too would alone world two friends enjoy other s company want but gets old fast seems then start improve live hating away memories sound effects great things really got weird end film product great imagination written directed vincenzo natali help two stars seen
1,movie anton newcombe music careers two bands simply backdrop it s fair newcombe last word film writing find news section brianjonestownmassacre website i d link imdb will not permit it documentarians limited camera captures well need assemble cohesive narrative somewhat random occasions chance put camera lens sight line relevant happenstance dig fortune smiled dandy warhols capturing rise status pop idol candidates formed slickly produced pop confections mass consumption notably bohemian like you song made global darlings thanks euro cell phone ad no luck brian jonestown massacre film captures little made original bjm lineup great sole exception single montage lasting minute so showing newcombe creating recording number brief instrumental parts unremarkable themselves concluding sequence playback lush shimmering sounds newcombe s mind soul could enter world three commentaries accompany film one filmmakers two members bands the bjm track solely former members without newcombe warhols bjm alumni point montage sequence best bit film i d agree that given film s focus anton newcombe part film sheds proper light gift seems brief lend proper balance attempted portrait tortured artist interesting thing commentaries that unlike film recorded real time one long take honestly revelatory documentary takes shape primarily editing the dandies come well comments rock roll world extends experience high school life denizens believe dandies popularity obsessed preppy types ones listen rock it s peers do bjm crew come half rejected half self exiled outsiders to insiders like dandies losers real rock spirit bjm s joel gion talks lot nails film s message says paraphrasing you can not forget anton able thing ever said wanted do make lot great music the dandies meanwhile laugh easily every outrageous display course newcombe s meltdown all bjm footage ends newcombe quit heroin courtney taylor taylor s discounting newcombe s commitment vision summed follows he s still living car download work website tired ripped everyone else he s giving away could making mint practically hear shaking head disbelief the film s shortcomings can not blamed filmmakers rather it s difficulties documentary form loss cooperation film s subject makes portrait newcombe fragmentary it s likely best get outside music i rented disc one feature extras disc two renting that i ve put order buy set
-1,first review into blue reef story two divers played chris carmack laura vandervoort love explore hidden treasures bottom local reef one day day exploring approached couple played david anders marsha thomason tell young divers want hire explore reef find rare artifact columbus hidden treasure reported bottom reef next day four dive bottom reef coarse whole day diving find nothing days past two hired divers found part major deadly plot can not escape otherwise killed hired find two big containers one contains nuclear reactor contains core the movie also back story another person brother lead character trying patch things girlfriend reckon part story waste time also includes steamy sex scene couple complete waste was not needed shown however apart that movie good underwater photography colors blend well receives stars blue sequel name none original actors characters return dumb plot stupid characters boring climax
1,may contain spoilers may contain spoilers in age shrek the movie pixar the studio much traditional animation film put together characters normally would not seen together not mentioned try save human baby bring back father begin enemies end best friend sound like disney film is only made th century fox trailer movie one best i ve seen ages movie does not live expectation trailer set problem lie fact makers film did not made mind target audience film yes jokes film adults understand film mostly aimed children parents enjoy fact min children s attention focused something else them backgrounds excellent voice good nothing nice film children love film adults like it
1,descent yeah boy have not seen anything powerful scintillating since bruno dumont s twentynine palms by way film confused another fairly recent pic topic female empowerment the descent directed splat pack friend neil marshall also happens major talent right getting back descent nc rated uh oh effort lovely ms dawson takes producer s credit congratulations directed talia lugacy strong chance that s real name good in moments appreciated lay people script pretty flawed producer really tighten script course premise alone promise rising conflict still lies task therein accomplishing rising conflict at times thing plays like interesting piece experimental theater and well guess i ll let others who ve already commented speak boringness it namely occurs second act but find second act is not boring there s also catch goes along quasi independent films like descent rosario happens attaching leveraging fame identity get script production would usual circumstances get made time basically miscast film s leading role rosario dawson gorgeous and apparently shoot girl angle day long but oh wow wee fast time slips away rosy ain t undergraduate more that s part confusion screenplay is graduate student ta no graduate students do not really type qualms football players they again rosario dawson executive producer that s one many many aspects professional film process you ll think embark wonderful new role film career do not answer you re movie is not convincing let tell you boatload bevy vivacious well qualified undergraduate aged talents pining get involved business might nailed lead character down while looking darn good know who unfortunately without ms dawson no honey money say camera department outstanding job however film really well shot i e lit dreary dreamy darkness nightclub scenes look wonderful one tell music videos starting pay play time shooting framing quite excellent makes picture rewarding watch descent good great however feeling thanks netflix movie find life own hope group continues making films you re experimental american film making cinematographic imagery implausibly well formed college studs or male model drop outs early twenties you re undergraduate plain angry hormonally aggressive young men comprise less half american university rosario dawson s descent might flavor rockaroll
-1,was not fan gore fest hit hostel lame ass knock offs bad worse yet live feed managed keep somewhat entertained first minutes started plenty sex sleazy settings followed good death scenes involving chinese organized crime squad foot leather aproned butcher put movie tough hero guns grudge saving day would call movie mediocre best since premise mainly involving obnoxious young people slaughtered seedy porno theater doubling hideout mafia appealing me torture prolonged enough thoroughly effective rating would differed greatly unfortunately gruesomeness heaped together one scene leaving rest movie conclude revenge type scenario so basically low budget hostel rip off redeeming use gratuitous sex almost constant first half film overall would say do not bother one
-1,seriously crappy movie first off movie starts cop partner parked outside warehouse furniture store bad cop takes girl pulled over warehouse s attic newbie cop sits outside ponders could happening there bad cop eventually returns heavy duffel bag newbie cop does not think problems still wonders bag asks gets bullshit response thinks everything ok for now the bad cop repeats process even tit scene made slightly better eventually people start catch on took awhile considering f ing obvious was one girl gets voodoo curse placed case dies like ya do now bad cop eventually kills magically protected bitch gets rid duffel bagged body since oogey boogey magic put her comes back lots eye shadow on supposed indicate may zombie also magic curse causes girls become eye shadow monsters girls meet dude apparently currency specialist offers ride they look normal apparently girls see people one girls husband freaks hideous some people freak out others do not even notice massive plot hole so wrap up eye shadow monsters kill bad cop turn ends becoming zombie last scene though trying prep us sequel like anyone would want see part cow dropping
-1,i ve found movie offensive americans lost somebody towers american people general pretending homage horrible facts happened last years director takes opportunity polemize old facts which none terrorist attack criticize american s political behaviour compare different political situation country nothing share atrocity september shame them
1,started watching show said oh no it s corny elfen lied even bloody indeed setup almost identical single young boy living big house himself suddenly getting involved fantastic adventure sexy young girls come live him but resemblance stops love story almost subtle intense one inuiyasha childish remarks behaviors few magical setup bit corny it s seven people seven servants fighting holy grail servants someone famous half masters school rules engagement etc however soon dims fades beauty drawing script i actually watched episodes one day and without comparing animes liked more genres say pleased
-1,shallow shallow script stilted acting the shadows boom mikes lingering actors heads scenes worth watching kate mulgrew plays selfish mother tv movie history it s ben affleck got teeth capped
-1,film library right have not finished watching it bad disbelief audrey hepburn totally lost talent then although she d pretty much finished robin marian worst thing appallingly stupid film it s really interest last feature film dorothy stratten appearance prior homicide there nothing idiocy gazzara cronies little signals little bows nods real screwball comedy faintest palest shadow who could believe even manhattan environs hepburn inhabited magically even mythically breakfast tiffany s twenty years earlier soundtrack old sinatra songs gershwin song title taken loud obvious you sure do not wait credits find something subtly woven cine musique picture know songs blasted you reverting type means going back well going back down guess case audrey hepburn s chic european lady see someone formerly occasionally actress always star even lost talent star someone whose talent continuing grow period like ann margret played role would life it even given unbelievably bad material mongoloid level situations hepburn great person course greater movie stars ever dreamed being one charming beautiful film actors dreadful performance went make atrocious tv movie robert wagner called love among thieves they laughed though still playing ingenue s even much vainer obviously less intelligent actresses insisted upon like lana turner infinitely effective hepburn turner took acting seriously even bad hepburn does not take seriously all could not bothered it even hair clothes look tacky last really good work two road perhaps perfect possibly best many ways and girl plays country singer sickening john ritter horrible simply nothing recommend film except see dorothy stratten truly pretty otherwise critic david thomson s oft used phrase losing his her talent never made sense ben gazarra lost sex appeal then films gazarra hepburn who could ask anything less sandra dee s last pitiful film lost years later low budget nothing this least ms dee spoke voice audrey hepburn s accent sounded silly she d go pbs gardens world audrey hepburn somewhat irritating accent works walks english gardens aristocrats waxes effusively what like flowers go back nature naturalized daffodils actual fictional movie sounds ridiculous to think breakfast tiffany s profound sort light poetic thing audrey hepburn one beautiful women world she surely one beautiful screen presences my fair lady matching garbo several things delphine seyrig last year marienbad this final brief role angel hap spielberg film always lady stuff corny witless stifling i went memorial service fifth avenue presbyterian church beautiful service included boys choir singing shaker hymn simple gifts thing listed program sudden playing hepburn s singing moon river fire escape breakfast tiffany s brought much emotion real tears congregation a great lady fine actress as the nun s story one greatest beautiful film stars many movies s s became truly bad one that s common perhaps great human who making things film performances trivial nevertheless largeness mind want flaws pointed mercilessly which late film work contained abundance talk hepburn s miscasting my fair lady one original actress wait dark starred lee remick broadway never celebrated hepburn better actress many ways hepburn completely incapable playing anything really sordid although hepburn least adequate enough part that acting went downhill
-1,fair well could budget five shillings sixpence dialogue cheesy lbs emmental cgi little old hat now maybe actors perfectly chiselled granite would made film little better too say awful film mis service want see something totally execrable gotta sit waste couple hours life watching sickle soo mind numbingly awful actually good several large alcoholic beverages deriguer though road up enjoyed film gotta worth look seen yet do not expect anything along lines jurassic park the lost world apocalypto
-1,mean ultra light film features four giant stars three half jokes nothing beyond that there really is not much say stinker although couple really good bits is not funny work romance romantic comedy life dialogue way flat sophisticated much less amusing what s really ashame premise bad all movie could much more especially recent focus bogus ways films promoted complete phony quotes critics film uncovers un mined territory press junket expense paid trips journalists almost always write nice reviews instead exploring motherlode jokes devotes three minutes territory moves pursuit film s lame romance the catherine zeta jones character whinny self centered movie star zeta jones good job she s given she s given practically nothing it s homogenized junk looks pale comparison things we ve heard stars years in end hard understand made zeta jones julia roberts john cusack billy crystal sign aboard doomed ship sinks like rerun the love boat fact old joke goes forgotten script filmed deal would probably make better story so go ahead tell us filmmakers stars got appear this
1,original barbara stanwyk saved stanwyk s performance story performances sickeningly sweet film dated really enjoyed today bette midler s version much interesting stella claire independent free spirited single woman gets pregnant refuses help boyfriend stephen collins friend john goodman underrated performance raises daughter jenny played sweetly trini alvarado comes conclusion jenny s father better ultimately makes life altering decision film plenty laughs tears memorable moments mostly midler alvarado marsha mason co stars jenny s would be stepmother though wealthy turns good influence her like midler goodman good films plenty emotion you ll enjoy bette midler s version stella
1,admit fond oliver young child it s long story little slow moving musical numbers teenager discovered fun movie experience itself rather thinking adaptation oliver twist think celebration classic story adaptation loose best really you re watching musical ain t story the music core movie overwhelming majority stellar catchy cast involved stage version musical shows performances and consider plus performances stagey style acting typical much older films entertaining exception kid playing oliver whose job seemed look cute stay real performers way fagin dodger real stars movie oliver reed also fantastic job maintaining intimidating screen presence menacing bill sykes even sykes dog bullseye puts good performance this movie is not everyone people hate musicals despise it take musicals seriously nitpicking faulty historical details mistaking exaggerated stage type acting bad acting ruin anyone s enjoyment sit back enjoy entertainment it s much better remember that musical it s fantasy loosely organized around book strict adaptation
1,movie little unusual it s got slim plot movie done slow leisurely pace makes pretty different average grant film still highly watchable entertaining it s sort like someone said let s follow cary around watch gets perturbed little problems come house rehabbed considering fun actor film great support gets myrna loy melvin douglas film works well film pretty modest pretensions makes material it s great film cary grant fans whole family
