Polarity,Review,Polarity_result
1,unos has been around for ever  i feel like this restaurant chain peak in popularity in the s honestly the decor inside still kind of looks s to me even though its nice with sleek booth and exposed brick  if you havent died and he recently i ordered you to come back and have a meal here again because honestly the food is really quite good  they have the best chicken salad wrap ever i love that rap so much i want agreed to walk the south side river trail from where the steelers practice all the way to the damn waterfront just because i knew that i could convince my boyfriend to go to unos with me for lunch  full disclosure  i made him call is a cab and we took a taxi back to the parking lot after lunch  listen the food and pizza and service are very good surprisingly so i dont know why this place is not busier but next time youre down at the waterfront please do consider dining here,"{'neg': 0.016, 'neu': 0.826, 'pos': 0.158, 'compound': 0.9648}"
-1,stars are for the food only     rating  got there at pm on saturday night they told us it was an hour wait which was expected but it only took minutes to be seated so that was a bonus  started off with the lettuce wraps and i used to be a fan of these but they just seem to bore me nowfyilove the lettuce wraps at the cheesecake factory  i had the singapore rice noodles  this was so so as i thought immediately that lu lu noodles and asian cafe are better  the fried rice was disappointing and the vegetables tasted raw   some good notes were the dynamite shrimp plump juicy tangy with a small kick    sweet and sour chicken was just the same minus the kick   the service was annoying   we were there less than  minutes and it seemed like our waiter was in a rush to get us out of there   constantly asking if he could remove my plate  i had to sternly say at one point that i will let you know when i am finished  i found it rude especially since  there wasnt even a line at this point    i think we will travel elsewhere following a movie  the result never quite met the anticipation,"{'neg': 0.061, 'neu': 0.827, 'pos': 0.113, 'compound': 0.9071}"
-1,our last few visits have left something to desire one of the things i always notice is the demeanor of an establishments employees these people look miserable no one smiles or greets you appropriately its more like get in get out turn the tables  the food has remained consistently good when we can order it the last time jb and i came for a quick dinner the place was not busy yet we were passed by  frowning waitstaff without getting drinks for  minutes we were left suiting at our table with our menus closed and sitting on the edge of the table hint hint so we left and most likely will not be returning,"{'neg': 0.082, 'neu': 0.839, 'pos': 0.079, 'compound': -0.0928}"
1,good quality pork fried dumpling and mongo beef  bar service was fast and efficent   good value  not a  cause dragon eye tea was cold first time around and beef had minor amount of fat   fortune was even postive,"{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.8225}"
-1,very bad purchase experience i bought a shirt with a hole covered in the rolled up sleeves but they denied my request to return it i am so angery at this and will never shop their chothes anymore,"{'neg': 0.148, 'neu': 0.852, 'pos': 0.0, 'compound': -0.7389}"
-1,when i think bbb i think the days of simply bringing your bike in for a quick and relatively inexpensive tuneup and a few fixes are long gone      this review is more for the repair end of bbb in their defense bbb does appear to carry some amazing brands of bike ie colnago that you just dont find anywhere else in pittsburgh   at bbb i was charged  for a tune up and a few other things granted this included installing a sew up tire which i can understand would cost approx  swapping out a left side big ring shifter on my down tube this should have cost approx  at most and installing new bar tape cost of tape  and  to install so whats with  for a tune up well the story goes like this  i bring the bike into bbb prior to the nice weather hitting pittsburgh in hopes of trying what people have said is a great bike shop and getting my oclv trek  ready for the season turns out i dont hear from these guys a week goes by two weeksi think thats ok i have two or three other bike i can turn to for a ride then i wind up going out of town for a week thinking for sure ill get a call from them re my bike is ready to rollbut no dice so i call turns out a screw snapped when the mechanic was reinstalling the down tube shifter and it had to be tapped out is that my fault he says should be ready in a few days so i come in a few days later to this mammoth bill i ask if i am paying for the labor of taping out the screw i dont think i ever got a straight answer i look at the bill and cant see a good breakdown of the charges normally i would duke it over a bill like this but i figuredi had somewhere i to be  minutes ago and at least i finally have my bike i would expect that for that money my bike could have been stripped down to the frame and totally gone over overhauled but it wasnt  well bbb ill give you a star because the mechanic did do a good job in that my cycle shifts well and the tape job on the bars looks great nice wrap plus ill toss in a star for your outstanding selection of high end cycles maybe i would have rated bbb higher if i was in the market for a purchase instead of a simple repair,"{'neg': 0.039, 'neu': 0.854, 'pos': 0.107, 'compound': 0.9842}"
-1,my orders have come out bad pretty much every time i have ordered from here the chicken nuggets come out under par im lucky if the fries come out right my last experience is the last straw i recently posted a photo of my chicken ranch club that has no chicken this is ridiculous i am done going to this mcds,"{'neg': 0.117, 'neu': 0.798, 'pos': 0.085, 'compound': -0.296}"
-1,wow what a shame my family just moved to the area and have been sampling the local cuisine we are a very large family and love foods of all kind weve eaten chinese food from a hundred different places in a dozen different cities hands down this was the worst weve ever had cold tough congealed and tasteless  thats the only way to describe it ill never order from here again quite frankly the fact that i took time away from my kids to type this out should tell you how awful it was my complaints fell on deaf ears i guess they were shocked that someone thought that they were serving low grade dog food i understand that sometimes restaurants crank out bad food it happens but when it does you bend over backwards to make it right not at this place i was told that he would have to speak with the owner in order to help me i guess thats how they deflect complaints  blame it on the owners that arent there and make the customer for away angry  too bad because we will be visiting a competitor in the future this family of  wont be visiting china sea ever again oh and by the way why cant i give this place zero stars,"{'neg': 0.135, 'neu': 0.821, 'pos': 0.044, 'compound': -0.9593}"
1,i fell in love with this place as soon as we pulled up and saw the lights strung up and  oldies coming from the speakers   i tried the banana cream pie hard ice cream their scoops are very generous   my bf got the peach cobbler hard ice cream and that was to die for we got  servings of ice cream for  which nowadays is a steal imo    ill definitely be heading back with my coworkers this week,"{'neg': 0.138, 'neu': 0.748, 'pos': 0.114, 'compound': -0.0534}"
1,this is by far the best soft serve ice cream place in southwestern pa the flavor of the week is always interestingand tasty though i am somewhat disappointed that theyve switched to a lower grade ice milk for their vanilla and chocolate offerings i dont know if this is a matter of cutting corners or if the better stuff simply isnt available any longer either way this place is still leaps and bounds ahead of dq tastee freeze etc its definitely worth the trip its mostly street parking though they do have about  parking spaces off to the side serving sizes are huge the small cone here is the same size as a dq large and the large is so big they cant fit it through the windowthey hand it out the side door  if you want a real kodak momentorder a large cone for the kids and keep the camera and wet wipes handy,"{'neg': 0.05, 'neu': 0.828, 'pos': 0.121, 'compound': 0.8802}"
1,this is my goto distributer they have a great selection and lots of hard to find brews i havent noticed that its any more expensive than going elsewhere but honestly if i dont buy here then im buying six packs which as we all know are a huuugggge rip off so any time i have a case of something i love i feel like im getting a bargain the cold selection does suck so i try to plan ahead and have what i need already cold staff here are all very helpful and will have recommendations if you ask,"{'neg': 0.043, 'neu': 0.771, 'pos': 0.186, 'compound': 0.9577}"
1,love this beer distributor  they always have what im looking for the workers are extremely nice and always willing to help best one ive seen by far,"{'neg': 0.0, 'neu': 0.618, 'pos': 0.382, 'compound': 0.9348}"
-1,went here with a gift card from the restaurant week photo competition   we were one of two tables there and a bunch of staff showing up during the meal   our waitress was good but that couldnt save the food  the meal started out with some what i guess used to be foccacia  i say used to be because it no longer represented anything other than long pieces of brick or bark very stale and tasteless  we ordered the vegetable board which was probably the best thing we ordered with light and bright vegetables perfectly cooked and paired with two delicious sauces   then we ordered the octopus which was fine but very cold and the octopus had little to no flavor being overwhelmed by the citrus in the dish   the tuscan wings were ok but they were really ordered for my husband who seemed to enjoy them   finally the diver scallops  this dish was indeible  the scallops were very overcooked and the pea puree was so minty i was unable to eat it we sent it back and they did take off half of the price werent expecting anything just didnt want to eat it   after that we decided against dessert and left  i probably will not return,"{'neg': 0.042, 'neu': 0.811, 'pos': 0.147, 'compound': 0.9799}"
-1,i went there today the cut was terrible i have an awful experience they lady that cut my hair was nice but she wanted to leave early so she made a disaster in my head,"{'neg': 0.32, 'neu': 0.636, 'pos': 0.043, 'compound': -0.8807}"
1,as a chinese american college student from nyc who got stuck in pittsburgh with its useless public transportation circa  i desperately missed homestyle chinese food for the better part of my first two years here things turned around for me once i got a car or made friends with cars but i was seriously hurting for a while  tasty was one of the places we found back in the day it was owned and ran by a typical restaurantowning chinese family they had the works  pushy lao ban niang boss lady chef slash dad and during school offhours junior high school daughter manning the cashier if they were in nyc theyd only be missing an ami a bus boy the food was pretty good and if you order in chinese the lao ban niang hooked you up with extras because your parents teach you good to talk chineees   im pretty sure tasty is under new ownership now the food isnt as good as it was but the restaurant still gives off the homestyle look and feel its a small restaurant with enough seating for about  patrons cheap tables cheap seat,"{'neg': 0.147, 'neu': 0.751, 'pos': 0.102, 'compound': -0.7997}"
1,this shelter is fantastic and has generally very good friendly people on staff  the cats and dogs appear to be treated at least as well as one might expect  when i adopted one of my cats at this establishment i had to return the next day to have her spayed  they did it for free which was great but the reason they dont get five stars is that the desk clerk completely forgot about my cat and me and she left us waiting as she chatted on her cell phone with a friend she only remembered about us as she was walking out for a smoke and saw us sitting in the lobby,"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.9364}"
-1,our cat recently came down with some health issues that we could not afford to address he was in pain and we decided the humane thing was to put him to sleep we went to the arl and asked the receptionist there if we had any other options available to us well basically the only thing you can do is sign him over for euthanasia she said in the most uncaring apathetic voice possible we were heartbroken of course go wait by that door and someone will meet you after a few minutes another woman came out and took the carrier ill bring your carrier back out in a minute we said no thats okay keep the carrier she said okay and took our cat to the back and that was it no kind words no sympathetic gestures no would you like a moment before i take him no im sorry nothing for us this was one of the worst days of our lives but nobody at the arl seemed to care or at least have been trained to pretend to care one bit   they get a couple stars for offering a necessary service but other than that this place will only be associated with making a terrible day that much worse with their lack of caring or empathy,"{'neg': 0.135, 'neu': 0.79, 'pos': 0.075, 'compound': -0.8735}"
1,yes awesome soy cap scone and atmosphere nice place to hang out  read and free wifi with no login procedure,"{'neg': 0.073, 'neu': 0.498, 'pos': 0.429, 'compound': 0.8934}"
-1,the people who work here are very rude i have gone back a few times thinking it may have just been the person working that day was just a rude person but no it happen every time i am not a young hip person and felt very out of place there it is like you are walking into someones house and bothering them the people working behind the counter act like you are interfering with there conversation plus it is very dirty perhaps the people working there should try cleaning the place instead of talking to each other i will not go back again,"{'neg': 0.124, 'neu': 0.821, 'pos': 0.055, 'compound': -0.7984}"
-1,ive been here quite a few times and i always try to like it cause theres a lack of good sports bars near pitt they have a ton of nice hdtvs  everytime i go there is always a weird taste to one or more of the beers that i get i was just there for the pittoakland game and got a redhook i drink this beer regularly and something was wrong with the beer its definitely hard to describe but something is always off others in my party notice it too  the food is hit or miss i got the french onion soup last time it was good nothing ground breaking but solid soup ive had the pork nachos and they were blah,"{'neg': 0.071, 'neu': 0.806, 'pos': 0.123, 'compound': 0.8402}"
-1,the location is convenient but i was not a fan of the food i had shrimp and chinese veggies and crab rangoon they cut the veggies way too big and the sauce was bland i wont go back for food but the crab rangoon was ok they didnt give any sauce you have to ask for it that sucks,"{'neg': 0.126, 'neu': 0.832, 'pos': 0.042, 'compound': -0.675}"
1,i cannot sing tim walters praises loud enough  i have taken my car to him for about  years and i always leave with a new experience attesting to his awesomeness if you think you might have something wrong with your car that youre not sure what it is you can just stop by and hell usually take a break from what hes working on to get in your car with you and drive for a little bit and then give you his opinion then when he diagnoses your car hell explain it to you like youre not an idiot and hell make sure you understand whats going on hes incredibly honest and cares about his customers for instance once i had a tire that needed to be replaced but he didnt have it in stock he told me how much it would cost to have the tire ordered and how long it would take to come in then he called another shop to see if they had it and asked how much they were charging for it and he sent me there because it would be cheaper and faster for me than having him order it the price difference was like ten bucks so i had him do it because it wasnt an emergency and id rather give him my business hes awesome,"{'neg': 0.06, 'neu': 0.844, 'pos': 0.096, 'compound': 0.8728}"
1,the first time i came here i waited in line for  minutes  when it was my turn i realized i left my wallet in the car  it hurt so bad i didnt come back for a year  i can walk to this place from my house which is dangerous because those biscuits are just oh so dreamy  i cant describe them  just get some  do i feel guilty about noshing on fabulous strawberry napoleons and jewish pizza kind of like a modified yet totally delicious fruitcake bar at am  hecks naw but they do have quiche and some other breakfasty items for those who prefer a more traditional approach to your stomachs opening ceremony  just go early   they open at  on saturdays  and bring cashits easier that way,"{'neg': 0.064, 'neu': 0.864, 'pos': 0.072, 'compound': 0.2742}"
1,im a creature of habitive been getting a savory and sweet item each time im around the neighborhood white lily cake is divine quiches always tasty macarons are alittle too sweet i wish the cake slices werent pop otherwise would be a regular here,"{'neg': 0.0, 'neu': 0.765, 'pos': 0.235, 'compound': 0.9062}"
-1,i dont know maybe im not clear on the concept of whole foods  dont get me wrong theres nothing really wrong with shopping at whole foods  whole foods does have wonderful merchandise but  i have found that i can buy a lot of the same organic things and environmentally safe cleaners at giant eagle for less  thier wine and beer selection supposedly quite remarkable in other states well remember this is pennsylvania  you cant buy those things at the grocery store    i can get just as good quality meat and produce in the strip district  sometimes even better quality  i guess the benefit of whole foods  is that you can find a lot under one roof and dont have to spend a lot of time and gas going to different stores  im not slamming whole foods at all but i actually like trader joes better,"{'neg': 0.009, 'neu': 0.777, 'pos': 0.214, 'compound': 0.9883}"
1,we decided to give brunch a try for our first visit to casbah  we were surprised  by the huge tent covering the outdoor dining area  we opted for an inside table the interior is somewhat small the tables are close together  for brunch you are served your choice of drink appetizer and entree    for our drinks bj had a bloody mary and i had a bellini  we were served a basket of yummie bread and mini muffins  for appetizers we got a three sisters farms mesclun greens and smoked salmon and truffled potato cake  very good  for entrees we selected a jumbo lump crab  tomato omelet and the ny strip steak  very relaxing and tasty meal,"{'neg': 0.023, 'neu': 0.89, 'pos': 0.087, 'compound': 0.7897}"
1,when scoping around online for a good nye dinner destination for my husband and me casbahs prix fixe menu really jumped off the page since the big burrito group is so popular i was happy to get reservations especially since a lot of times were already booked  the hubby and i arrived a few minutes early for dinner i had planned additional time to park and was delightfully reminded that big burrito restaurants have free valet parking  so great especially with slushy snow on the ground even though we were a few minutes early the hostess took our coats and seated us immediately    service was extremely attentive from start to finish waters were refilled quickly bread was brought to the table almost immediately and we were offered another basket as soon as we finished the first the bread came with a delicious spread  was it goat cheese  that i just couldnt stop eating silverware whisked away with each course was promptly replaced  we ordered both the land and sea courses to share so we could try the entire nye prix fixe menu none of the eight dishes disappointed the first courses were sea scallops  octopus and duck confit the sea scallop was perfectly cooked the octopus  thought not my cup of tea  was also well cooked and the balsamic flavor in the dish was very tasty i absolutely loved the duck confit dish it was served with mustard greens and fruit with a todiefor dressing  a delicious combination  the second courses were potato gnocchi and mushroom tortelloni the gnocchi was served with lobster which was a unique but nice paring though a strongly flavored dish the tortelloni was delicious and i enjoyed another unique paring tortelloni with chunks of beef short rib  lake ontario walleye and roasted veal strip loin were the third courses both were cooked to perfection the walleyes skin was perfectly crispy and the veal strip loin was cooked medium well but was still deliciously juicy and tender however a component of each dish was disappointing  a mustard flavor in the walleye and pickled mustard seeds covering the veal i really cant hold this against casbah though im just not a fan of mustard  finally the desserts was fantastic the chocolate ganache tart was the ending of the sea courses the chocolate was strong even a little bitter and was served with a little champagne strawberry compote i grew more accustomed to the bitterness with each bite and it was the perfect ending to three courses filled with fish a caramel macaroon completed the land courses the macaroon was delicious and served with a little apple sorbet and caramel sauce  our experience at casbah was spectacular based on this experience i debated giving the restaurant five stars but decided to wait until i returned a second time and i cant wait to return,"{'neg': 0.029, 'neu': 0.813, 'pos': 0.159, 'compound': 0.9969}"
-1,overpriced salty and overrated why this place is so popular i will never understand,"{'neg': 0.0, 'neu': 0.782, 'pos': 0.218, 'compound': 0.5598}"
1,every time i have been to casbah for lunch brunch or dinner the food has been great and the service has been impeccable  sure ive had more exceptionally delicious and unique meals in pittsburgh but casbah has consistent awesomeness down pat  just get a reservation ahead of time  also the desserts are mandatory    the duck confit gnocchi is smashing its a nice balance of slightly sweet and very savoryand my favorite is probably the casbah doublecut pork chop superyum comfort food  the short rib ravioli is some potroasty goodness and the long island duck is another great choice    a nice surprise here are the great happy hour specials at the bar  try the boyd  blair cocktail and the sangria,"{'neg': 0.0, 'neu': 0.678, 'pos': 0.322, 'compound': 0.9942}"
1,my girlfriend and i went to casbah for the first time recently and we both enjoyed our experience  the atmosphere is dressy but the restaurant isnt so formal that it feels stuffy or uncomfortable which is a welcome change compared to most classy restaurants  the environment was relaxed and it was easy to have a quiet conversation throughout the meal  as for the meal itself we had a reservation and were promptly seated when we showed up  our waiter was courteous and provided good fast service without being overbearing or constantly hovering which was quite nice  for an appetizer we ordered the cheese tray which was tasty as well as fun and unique  following the cheese tray i dined on the cioppino while my girlfriend had the casereccia  both dishes were tasty and our seafood was skillfully cooked particularly the sea bass in my dish which was delicious  id recommend this restaurant for anyone looking to celebrate an occasion or have some good out of the ordinary food,"{'neg': 0.016, 'neu': 0.723, 'pos': 0.261, 'compound': 0.9951}"
1,i am not a vegan and went there to meet friends and enjoy the atmosphere i must say the hipster tude of the place was intimidating at first but its super friendly and retrofeeling  servers were fairly friendly  we had some great lattes and chai teas and chatted for a long time without being bothered  didnt try the food but there were lots of vegeterian and vegan options,"{'neg': 0.022, 'neu': 0.666, 'pos': 0.312, 'compound': 0.9792}"
1,this valentines day i ordered a pizza for my boyfriend and asked that they make a heart on it out of green peppers the pizza was great the heart was perfect and he loved it,"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.9136}"
-1,it seems like every other time i take my pets to point breeze there is an unnecessary frustration   from being berating for using their online prescription program to being misquoted prices substantially to poor customer service i just keep hoping each time will be better  although i know they love animals i suspect they love money more  dr caroline simard is an excellent vet but my last two visits have been pushed to other vets whose bedside manner is atrocious   im a  yearold  who has been taking my pets to vets since childhood and i dont understand why each visit leaves a sour taste in my mouth,"{'neg': 0.05, 'neu': 0.838, 'pos': 0.112, 'compound': 0.7439}"
-1,refused to take my cat which had passed away for cremation cause i had not been to the clinic previously imho thats ridiculous i will not recommended anyone to ever come here,"{'neg': 0.178, 'neu': 0.822, 'pos': 0.0, 'compound': -0.6476}"
-1,my partner and i were visiting my family in pittsburgh we live in san diego my partner was born and raised in portugal my mom heard about this resaurant and was excited to take my partner and i to a portuguese restaurant in pittsburgh we went looked at the menu and did not find anything portuguese on the menu why does this restaurant promote itself as portuguese fly the portuguese flag and not have any portuguese dishes we left,"{'neg': 0.0, 'neu': 0.939, 'pos': 0.061, 'compound': 0.6124}"
1,what a gem of a place in shadyside  it s places like this that makes me miss living there  food was outstanding  because it was our first time we wanted to do a little bit of this and that   appetizers becky s salad and the special of the eve  smoked salmon on crostini with creme fresh a clam dish forgot name with the best tomatoewhite wine i could have drunk from the bowl brot,"{'neg': 0.046, 'neu': 0.773, 'pos': 0.181, 'compound': 0.9136}"
-1,and sothe search for a new hair salon continues sigh dont get me wrong the cut was a good cut the salon itself was clean and stylish the owner welcoming and friendly   now what went wrong the cut was good but it certainly wasnt what i expected from a salon with the reputation of izzazu i wasnt bowled over by my stylists professionalism either dont diss my previous stylistshe rockedyou dont do yourself any favors by knocking someone else  and come on i was waaayyyy overdue for a cut since ive been driving to cleveland for a style  that being said for  and saving big bucks on gas tolls lunch and shopping the cut was still a deal but when i started to sign the charge slip it said  not  but i said the website said it was  for a master stylist oh the chick at the counter said thats for mens cuts silly me   so when i got back to the office i went online and checked nope it said  for a master stylist womens haircut hmmmmm so i called the chick at the counter now said oh our stylists charge whatever they feel the cut should be what so i quoted the prices to her from the izzazu website she changed her tune again oh wellill refund you  if you give me your credit card number didnt she have my slip with the card number sorry i dont give my credit card number over the phone or i can send you a gift certificate nope i said through clenched teeth i wont be coming back  it wasnt the cut it was the bait and switch id gladly have paid it had they been up front and aboveboard ahead of time as judge judy says dont pee on my leg and tell me its raining   the search goes on or ill be back in cleveland in the spring for the next cut  p s  one amusing side note  i checked in at izzazu when i arrived  turns out im the duchess  the duchess is displeased,"{'neg': 0.082, 'neu': 0.815, 'pos': 0.103, 'compound': 0.5889}"
1,pages is a pittsburgh icon the ice cream is good the selection is vast and the price is right they have so many different things to try its nearly impossible to choose im a big fan of the cookie sundae brownie sundae and cinnamon roll sundae the options at this place are pretty much endless but sometimes a regular soft serve sugar cone is the way to go its better than dairy queen and you support a local business by going here what more could you ask for   i dont know if i would say that pages has particularly superior soft serve but its the experience and variety that makes this a four star place i do think the ice cream is better than somewhere like dairy queen but not by much what makes pages special is wide variety of options and soft serve flavors its also the nostalgia that goes along with it its a business that hasnt changed much in its lifetime and thats what most people like about it you can count on pages to be there every marchoctober theyre going to offer the same treats you loved as a kid for your whole lifetime  it represents the change of the seasons and brings back memories for people it means a lot more to people than just a summertime ice cream stop   for those who have never been there there is no interior so youll have to eat in your car or standing outside i prefer to open the back of my suv sit there and enjoy the night while i eat my ice cream the parking lot is hectic and downright scary sometimes i typically avoid this place on busy nights just for that reason   beware they only accept cash but there is an atm on site,"{'neg': 0.037, 'neu': 0.83, 'pos': 0.133, 'compound': 0.9872}"
-1,the first time i went here was with a group  we had reserved the entire restaurant for a retirement party   i had a horrible experience  vowed never to go back  at that time i even had a terrible interaction with the owner  this time i was invited with a couple of girlfriends because they love it decided to try again since it was more about the get together than the foodlocation  this time overpriced food and bad service  overall it was not anything out of the ordinary and not worth the price   i had the veal speciality   large portion but ok  staff was not very attentive for the small amount of customers present  i am a pittsburgh native  this is a bad neighborhood   i am not interested in ever going back,"{'neg': 0.107, 'neu': 0.843, 'pos': 0.05, 'compound': -0.8058}"
-1,our experience not so great  we have mortgage as well as basic free checking and savings with dollar in squirrel hill  mortgage application process was brutal  starting with the advertised rate of  being suddenly not available when we decided to lock it i,"{'neg': 0.157, 'neu': 0.741, 'pos': 0.103, 'compound': -0.5911}"
-1,i recently bought my first motorcycle a  ktm duke ii and found bohns when searching online for ktm dealers i went in with the intention of buying a jacket helmet and gloves their store is pretty nice inside and they have a good selection of gear mostly dirtoriented though   i wasnt quite sure what i wanted so i asked a lady for some assistance in picking out a helmet she was helpful and recommended a jacket that would be usable in different types of weather however a friend who was with me said he had a different type of jacket which they also sold and she commented that the hated that jacket and that the liner was nothing more than a glorified garbage bag ok  we also talked to a guy at the register about a  ktm  mxc that my friend just bought and asked a simple question about a clutch cable the guy seemed totally disinterested and clueless and im not really sure if he even knew what a clutch was he ended the conversation by saying that my friend should just throw his bike away because it was so old what  even after that i still bought a jacket from them and ordered a helmet i liked that they had assured me would be in later that week i then got a call from them a few days later saying that the helmet was no longer available but that i could pick another style i then just ordered the helmet online and went back the next day to get a refund  i wanted to like this place but between the thinlyveiled insults and seemingly clueless repair staff i dont think ill ever return their prices and selection are pretty decent so if you are in the area and know what you want it might be ok to stop by and pick something up if you have any alternative though i would avoid this place,"{'neg': 0.061, 'neu': 0.834, 'pos': 0.105, 'compound': 0.9015}"
1,fun bar and instead of typical bar food they lean towards greek dishes the blue grass jam on wednesdays is a lot of fun and not too loud to still enjoy a conversation decent beer prices pretty good selection,"{'neg': 0.0, 'neu': 0.681, 'pos': 0.319, 'compound': 0.9423}"
1,first time customer today  it is truly a dive but the sandwiches are great  large portions fresh bread and cheap,"{'neg': 0.0, 'neu': 0.617, 'pos': 0.383, 'compound': 0.8898}"
1,i went to a bob marley laser show as a favor for my husband  the lasers were really cool  i would not recommend them if you are prone to migraines or have a neuro disorder such as seizures i think if the music was more my taste it would have been awesome,"{'neg': 0.079, 'neu': 0.768, 'pos': 0.153, 'compound': 0.6791}"
