Polarity,Review,Polarity_result,Positive_result,Negative_result
1,this hole in the wall has great mexican street tacos and friendly staff,pos,0.5854621927442504,0.414537807255749
-1,took an hour to get our food only  tables in restaurant my food was luke warm our sever was running around like he was totally overwhelmed,pos,0.6693339267074139,0.3306660732925908
-1,the worst was the salmon sashimi,neg,0.39889526047121443,0.6011047395287861
1,also there are combos like a burger fries and beer for  which is a decent deal,neg,0.3237520197564164,0.676247980243586
-1,this was like the final blow,neg,0.40382567306116396,0.5961743269388363
1,i found this place by accident and i could not be happier,pos,0.6912136569166735,0.3087863430833258
-1,seems like a good quick place to grab a bite of some familiar pub food but do yourself a favor and look elsewhere,pos,0.6481466361779129,0.35185336382208793
1,overall i like this place a lot,pos,0.7233635648842929,0.2766364351157077
1,the only redeeming quality of the restaurant was that it was very inexpensive,neg,0.32688962923659654,0.6731103707634034
1,ample portions and good prices,pos,0.6520657354935641,0.34793426450643467
-1,poor service the waiter made me feel like i was stupid every time he came to the table,neg,0.30932943483362174,0.6906705651663777
1,my first visit to hiro was a delight,pos,0.8241222672485685,0.175877732751431
-1,service sucks,neg,0.08969465648854964,0.9103053435114501
1,the shrimp tender and moist,pos,0.5288206051255664,0.4711793948744325
-1,there is not a deal good enough that would drag me into that establishment again,neg,0.4198611324409311,0.5801388675590682
-1,hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didnt want to eat it for fear of getting sick,neg,0.4738623346177185,0.5261376653822831
1,on a positive note our server was very attentive and provided great service,pos,0.9566798220811926,0.04332017791880621
-1,frozen pucks of disgust with some of the worst people behind the register,neg,0.09583915769136607,0.9041608423086335
1,the only thing i did like was the prime rib and dessert section,pos,0.8312454589524388,0.16875454104756024
-1,its too bad the food is so damn generic,neg,0.15472392558926523,0.8452760744107334
1,the burger is good beef cooked just right,neg,0.17676578717965025,0.8232342128203511
1,if you want a sandwich just go to any firehouse,neg,0.13539914594137173,0.8646008540586285
1,my side greek salad with the greek dressing was so tasty and the pita and hummus was very refreshing,pos,0.9946516519032353,0.005348348096762552
1,we ordered the duck rare and it was pink and tender on the inside with a nice char on the outside,pos,0.991428873815459,0.008571126184540647
1,he came running after us when he realized my husband had left his sunglasses on the table,pos,0.7692624127096347,0.2307375872903659
1,their chow mein is so good,neg,0.48336017886732713,0.5166398211326727
-1,they have horrible attitudes towards customers and talk down to each one when customers dont enjoy their food,neg,0.44394569951476454,0.5560543004852352
1,the portion was huge,neg,0.48576777908668917,0.5142322209133107
1,loved itfriendly servers great food wonderful and imaginative menu,pos,0.958768669617117,0.04123133038288368
-1,the heart attack grill in downtown vegas is an absolutely flatlined excuse for a restaurant,neg,0.19096482218153124,0.8090351778184671
-1,not much seafood and like  strings of pasta at the bottom,pos,0.7774352766158928,0.2225647233841074
1,the salad had just the right amount of sauce to not over power the scallop which was perfectly cooked,pos,0.9828552202853006,0.017144779714699562
-1,the ripped banana was not only ripped but petrified and tasteless,neg,0.13453692291273955,0.865463077087259
-1,at least think to refill my water before i struggle to wave you over for  minutes,pos,0.7585303428378769,0.2414696571621231
1,this place receives stars for their appetizers,pos,0.8152236484234999,0.18477635157649944
1,the cocktails are all handmade and delicious,pos,0.8766681751336907,0.12333182486630896
1,wed definitely go back here again,pos,0.8844890208833182,0.11551097911668279
1,we are so glad we found this place,pos,0.6140242634188626,0.38597573658113765
1,great food and service huge portions and they give a military discount,pos,0.5118155314705573,0.48818446852944164
1,always a great time at dos gringos,pos,0.6744025614524539,0.32559743854754625
1,updatewent back for a second time and it was still just as amazing,pos,0.681143153870666,0.3188568461293344
-1,we got the food and apparently they have never heard of salt and the batter on the fish was chewy,neg,0.2050871854431247,0.794912814556875
1,a great way to finish a great,pos,0.6768893314326382,0.32311066856736226
1,the deal included  tastings and  drinks and jeff went above and beyond what we expected,pos,0.6964096724398091,0.30359032756019144
1, really really good rice all the time,pos,0.7293868023231965,0.2706131976768036
-1,the service was meh,pos,0.5024363506497943,0.4975636493502061
-1,it took over  min to get their milkshake which was nothing more than chocolate milk,pos,0.5733199680287351,0.42668003197126303
-1,i guess i should have known that this place would suck because it is inside of the excalibur but i didnt use my common sense,neg,0.12872343083149831,0.8712765691685039
-1,the scallop dish is quite appalling for value as well,neg,0.328373437762552,0.6716265622374482
-1, times  very bad customer service ,pos,0.5505137322873018,0.44948626771269806
1,the sweet potato fries were very good and seasoned well,pos,0.8235064918550759,0.17649350814492237
1,today is the second time ive been to their lunch buffet and it was pretty good,neg,0.4625583560466616,0.5374416439533376
-1,there is so much good food in vegas that i feel cheated for wasting an eating opportunity by going to rice and company,neg,0.18825877085376483,0.8117412291462353
-1,coming here is like experiencing an underwhelming relationship where both parties cant wait for the other person to ask to break up,pos,0.5548696362306119,0.44513036376938586
-1,walked in and the place smelled like an old grease trap and only  others there eating,pos,0.6192133719575388,0.3807866280424613
-1,the turkey and roast beef were bland,neg,0.022227755665178754,0.9777722443348207
1,this place has it,pos,0.5514058484868263,0.4485941515131739
-1,the pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old,neg,0.2094381670470593,0.7905618329529376
1,i love the pho and the spring rolls oh so yummy you have to try,pos,0.6278113100066751,0.3721886899933244
-1,the poor batter to meat ratio made the chicken tenders very unsatisfying,neg,0.39128760736404633,0.6087123926359522
1,all i have to say is the food was amazing,pos,0.5976493405806564,0.4023506594193432
1,omelets are to die for,neg,0.4781318391026176,0.5218681608973824
1,everything was fresh and delicious,pos,0.7920361282970114,0.20796387170298894
-1,in summary this was a largely disappointing dining experience,pos,0.6991793129736241,0.30082068702637554
1,its like a really sexy party in your mouth where youre outrageously flirting with the hottest person at the party,neg,0.18207588469651653,0.8179241153034829
-1,never been to hard rock casino before will never ever step forward in it again,pos,0.6209975095210715,0.3790024904789291
1,best breakfast buffet,pos,0.5451002227171481,0.4548997772828509
-1,say bye bye to your tip lady,pos,0.5416426487617563,0.45835735123824267
-1,well never go again,pos,0.553874057179413,0.4461259428205869
1,will be back again,pos,0.5561678315194231,0.4438321684805771
1,food arrived quickly,pos,0.6157894736842102,0.3842105263157903
-1,it was not good,pos,0.500895894948668,0.4991041050513319
1,on the up side their cafe serves really good food,pos,0.7965383348026694,0.20346166519732933
1,our server was fantastic and when he found out the wife loves roasted garlic and bone marrow he added extra to our meal and another marrow to go,pos,0.9836618040275643,0.0163381959724343
1,the only good thing was our waiter he was very helpful and kept the bloddy marys coming,pos,0.7096278307650729,0.2903721692349272
1,best buffet in town for the price you cannot beat it,pos,0.7152252626895665,0.2847747373104324
1,i loved their mussels cooked in this wine reduction the duck was tender and their potato dishes were delicious,pos,0.9856910331220603,0.014308966877941904
1,this is one of the better buffets that i have been to,neg,0.4167764763579165,0.5832235236420834
1,so we went to tigerlilly and had a fantastic afternoon,pos,0.8371610468897532,0.1628389531102463
1,the food was delicious our bartender was attentive and personable and we got a great deal,pos,0.8865113624424197,0.11348863755757992
1,the ambience is wonderful and there is music playing,neg,0.405647069639147,0.5943529303608539
1,will go back next trip out,pos,0.5216866237111947,0.47831337628880527
1,sooooo good,pos,0.8356682544130009,0.16433174558699895
-1,real sushi lovers lets be honest  yama is not that good,pos,0.8520679903447088,0.14793200965529194
-1,at least min passed in between us ordering and the food arriving and it wasnt that busy,neg,0.10613646835934758,0.8938635316406527
1,this is a really fantastic thai restaurant which is definitely worth a visit,pos,0.9360996692427614,0.06390033075723701
1,nice spicy and tender,pos,0.743123638344226,0.25687636165577316
1,good prices,pos,0.5874366910523359,0.41256330894766463
1,check it out,neg,0.3849811958358315,0.6150188041641681
-1,it was pretty gross,neg,0.32976284484212626,0.6702371551578733
-1,ive had better atmosphere,pos,0.5483993444155114,0.4516006555844887
-1,kind of hard to mess up a steak but they did,neg,0.2676285923574657,0.7323714076425348
-1,although i very much liked the look and sound of this place the actual experience was a bit disappointing,pos,0.7048085190416672,0.2951914809583329
-1,i just dont know how this place managed to served the blandest food i have ever eaten when they are preparing indian cuisine,neg,0.13052717658963806,0.8694728234103618
-1,worst service to boot but that is the least of their worries,neg,0.05274813010957453,0.9472518698904253
1,service was fine and the waitress was friendly,pos,0.7449445949608106,0.2550554050391887
1,the guys all had steaks and our steak loving son who has had steak at the best and worst places said it was the best steak hes ever eaten,pos,0.9174116128754248,0.08258838712457191
1,we thought youd have to venture further away to get good sushi but this place really hit the spot that night,pos,0.6823723122826242,0.3176276877173754
-1,host staff were for lack of a better word bitches,neg,0.27277865051154837,0.7272213494884525
-1,bland not a liking this place for a number of reasons and i dont want to waste time on bad reviewing ill leave it at that,neg,0.005871547954314009,0.9941284520456842
1,phenomenal food service and ambiance,pos,0.9527027027027032,0.047297297297297244
-1,i wouldnt return,pos,0.5130718954248367,0.4869281045751633
1,definitely worth venturing off the strip for the pork belly will return next time im in vegas,neg,0.28069354835241306,0.7193064516475867
-1,this place is way too overpriced for mediocre food,neg,0.1203141396722598,0.8796858603277417
1,penne vodka excellent,pos,0.6512770137524557,0.3487229862475439
1,they have a good selection of food including a massive meatloaf sandwich a crispy chicken wrap a delish tuna melt and some tasty burgers,neg,0.27591948487294066,0.7240805151270617
-1,the management is rude,pos,0.9167430237401079,0.08325697625989192
1,delicious nyc bagels good selections of cream cheese real lox with capers even,neg,0.17743799790947815,0.8225620020905243
1,great subway in fact its so good when you come here every other subway will not meet your expectations,neg,0.46413046591726764,0.5358695340827315
1,i had a seriously solid breakfast here,pos,0.5309065098277413,0.469093490172258
1,this is one of the best bars with food in vegas,pos,0.6159689529733688,0.38403104702663216
-1,he was extremely rude and really there are so many other restaurants i would love to dine at during a weekend in vegas,pos,0.928211514824741,0.07178848517525703
1,my drink was never empty and he made some really great menu suggestions,neg,0.06903682725543325,0.9309631727445665
-1,dont do it,neg,0.09999999999999992,0.9000000000000002
-1,the waiter wasnt helpful or friendly and rarely checked on us,pos,0.7210734506942088,0.27892654930578914
-1,my husband and i ate lunch here and were very disappointed with the food and service,pos,0.676225826812199,0.32377417318780194
-1,and the red curry had so much bamboo shoots and wasnt very tasty to me,pos,0.9683574863361583,0.031642513663840556
1,nice blanket of moz over top but i feel like this was done to cover up the subpar food,pos,0.7920443480695025,0.2079556519304961
1,the bathrooms are clean and the place itself is well decorated,neg,0.37310532302599686,0.626894676974002
-1,the menu is always changing food quality is going down  service is extremely slow,pos,0.8213377665385466,0.17866223346145513
-1,the service was a little slow  considering that were served by  people servers so the food was coming in a slow pace,pos,0.7342768012533393,0.26572319874666056
-1,i give it  thumbs down,neg,0.2027928312935317,0.7972071687064683
-1,we watched our waiter pay a lot more attention to other tables and ignore us,pos,0.6882934582909147,0.311706541709087
1,my fianc and i came in the middle of the day and we were greeted and seated right away,pos,0.7689719299585724,0.23102807004142828
1,this is a great restaurant at the mandalay bay,pos,0.6362645752677688,0.36373542473223086
-1,we waited for forty five minutes in vain,neg,0.3911833378594283,0.6088166621405723
-1,crostini that came with the salad was stale,pos,0.5619046706092025,0.43809532939079665
1,some highlights  great quality nigiri here,pos,0.7329821013203843,0.26701789867961523
1,the staff is friendly and the joint is always clean,pos,0.7812350674413948,0.21876493255860505
1,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored,pos,0.960914464809639,0.03908553519036027
1,i ordered the voodoo pasta and it was the first time id had really excellent pasta since going gluten free several years ago,pos,0.9790558094734982,0.020944190526499123
1,this place is good,pos,0.5432582334410242,0.4567417665589758
-1,unfortunately we must have hit the bakery on leftover day because everything we ordered was stale,pos,0.6509069794837414,0.3490930205162589
-1,i came back today since they relocated and still not impressed,pos,0.7258844191622335,0.274115580837767
1,i was seated immediately,neg,0.3693232209933221,0.6306767790066776
1,their menu is diverse and reasonably priced,pos,0.7577319587628856,0.24226804123711387
-1,avoid at all cost,neg,0.40046604293220317,0.599533957067797
1,restaurant is always full but never a wait,neg,0.47877704356705403,0.521222956432946
1,delicious,pos,0.6999999999999997,0.3000000000000001
1,this place is handsdown one of the best places to eat in the phoenix metro area,neg,0.4223024213787446,0.5776975786212541
-1,so dont go there if you are looking for good food,neg,0.08713620651974897,0.9128637934802504
-1,ive never been treated so bad,neg,0.3863008733262192,0.6136991266737808
1,bacon is hella salty,neg,0.26595744680851,0.7340425531914888
-1,we also ordered the spinach and avocado salad the ingredients were sad and the dressing literally had zero taste,pos,0.765498687829723,0.23450131217027478
1,this really is how vegas fine dining used to be right down to the menus handed to the ladies that have no prices listed,neg,0.3728842923867202,0.6271157076132783
1,the waitresses are very friendly,pos,0.835217886680984,0.1647821133190153
1,lordy the khao soi is a dish that is not to be missed for curry lovers,pos,0.935483227459438,0.06451677254056085
1,everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter,pos,0.9938883483435548,0.006111651656443752
-1,perhaps i caught them on an off night judging by the other reviews but im not inspired to go back,pos,0.6994064433582267,0.3005935566417735
-1,the service here leaves a lot to be desired,pos,0.5680614099032407,0.4319385900967596
1,the atmosphere is modern and hip while maintaining a touch of coziness,pos,0.9475523604563221,0.052447639543679064
1,not a weekly haunt but definitely a place to come back to every once in a while,pos,0.8871455350573464,0.1128544649426542
-1,we literally sat there for  minutes with no one asking to take our order,neg,0.1721756158753071,0.8278243841246916
-1,the burger had absolutely no flavor  the meat itself was totally bland the burger was overcooked and there was no charcoal flavor,neg,0.008678975644885527,0.9913210243551137
-1,i also decided not to send it back because our waitress looked like she was on the verge of having a heart attack,pos,0.6693051949028364,0.33069480509716587
-1,i dressed up to be treated so rudely,pos,0.6381021897810222,0.36189781021897804
-1,it was probably dirt,pos,0.5553279517519656,0.4446720482480346
1,love this place hits the spot when i want something healthy but not lacking in quantity or flavor,pos,0.5254146144160314,0.47458538558396957
1,i ordered the lemon raspberry ice cocktail which was also incredible,pos,0.9421976306343409,0.05780236936566153
-1,the food sucked which we expected but it sucked more than we could have imagined,neg,0.3413055657223115,0.6586944342776877
1,interesting decor,neg,0.4772256728778468,0.5227743271221531
1,what i really like there is the crepe station,pos,0.5126783862420443,0.4873216137579556
1,also were served hot bread and butter and home made potato chips with bacon bits on topvery original and very good,pos,0.9936309526469816,0.006369047353016012
1,you can watch them preparing the delicious food,pos,0.6546826766534776,0.3453173233465235
1,both of the egg rolls were fantastic,pos,0.7493283157043884,0.2506716842956104
-1,when my order arrived one of the gyros was missing,pos,0.6458191668746859,0.35418083312531395
1,i had a salad with the wings and some ice cream for dessert and left feeling quite satisfied,pos,0.9504561440646537,0.04954385593534724
-1,im not really sure how joeys was voted best hot dog in the valley by readers of phoenix magazine,neg,0.06534905540595,0.934650944594051
1,the best place to go for a tasty bowl of pho,pos,0.7546512455522103,0.24534875444779072
-1,the live music on fridays totally blows,neg,0.3310108164738077,0.668989183526193
-1,ive never been more insulted or felt disrespected,neg,0.30917458961796696,0.6908254103820329
1,very friendly staff,pos,0.7651525010166735,0.23484749898332696
1,it is worth the drive,neg,0.4685007083795512,0.5314992916204488
1,i had heard good things about this place but it exceeding every hope i could have dreamed of,pos,0.5023061112467683,0.4976938887532324
1,food was great and so was the serivce,pos,0.5813531920238887,0.4186468079761114
-1,the warm beer didnt help,pos,0.7575959045656985,0.2424040954343013
1,great brunch spot,pos,0.667864595409228,0.33213540459077195
1,service is friendly and inviting,pos,0.7954916052663367,0.20450839473366342
1,very good lunch spot,neg,0.47973543065591967,0.5202645693440803
-1,ive lived here since  and this was the first and last time ive stepped foot into this place,neg,0.3824355521105521,0.6175644478894475
-1,the worst experience ever,neg,0.28306168554255173,0.7169383144574476
-1,must have been an off night at this place,pos,0.518636770028139,0.4813632299718604
1,the sides are delish  mixed mushrooms yukon gold puree white corn  beateous,neg,0.340344049013171,0.6596559509868268
-1,if that bug never showed up i would have given a  for sure but on the other side of the wall where this bug was climbing was the kitchen,neg,0.1258787927806628,0.8741212072193355
-1,for about  minutes we were waiting for her salad when we realized that it wasnt coming any time soon,pos,0.6883454101829445,0.3116545898170557
1,my friend loved the salmon tartar,pos,0.8671004021343656,0.13289959786563468
-1,wont go back,pos,0.5211748633879781,0.47882513661202125
1,extremely tasty,pos,0.7111027190332331,0.28889728096676753
1,waitress was good though,pos,0.6363395251057474,0.36366047489425307
-1,soggy and not good,pos,0.5926172186235951,0.4073827813764054
1,the jamaican mojitos are delicious,pos,0.8378567457145746,0.16214325428542553
-1,which are small and not worth the price,pos,0.7119850774334716,0.2880149225665279
1, the food is rich so order accordingly,pos,0.6070634767617745,0.39293652323822453
-1,the shower area is outside so you can only rinse not take a full shower unless you dont mind being nude for everyone to see,neg,0.018382979665293123,0.9816170203347053
-1,the service was a bit lacking,neg,0.4206034981207305,0.5793965018792692
-1,lobster bisque bussell sprouts risotto filet all needed salt and pepperand of course there is none at the tables,neg,0.22927010616924937,0.7707298938307489
-1,hopefully this bodes for them going out of business and someone who can cook can come in,neg,0.16787478793175944,0.8321252120682427
-1,it was either too cold not enough flavor or just bad,neg,0.24386004639801007,0.75613995360199
1,i loved the bacon wrapped dates,pos,0.5277677579545107,0.4722322420454903
1,this is an unbelievable bargain,neg,0.3121250102736916,0.6878749897263091
1,the folks at otto always make us feel so welcome and special,pos,0.876568238730945,0.12343176126905418
-1,as for the mains also uninspired,neg,0.08501079925967178,0.9149892007403277
1,this is the place where i first had pho and it was amazing,pos,0.6736569948215629,0.32634300517843673
1,this wonderful experience made this place a muststop whenever we are in town again,pos,0.8806617983789158,0.11933820162108542
-1,if the food isnt bad enough for you then enjoy dealing with the worlds worstannoying drunk people,neg,0.42795192367375334,0.5720480763262479
1,very very fun chef,pos,0.5494615071562555,0.4505384928437441
-1,ordered a double cheeseburger  got a single patty that was falling apart picture uploaded yeah still sucks,neg,0.14099372948761907,0.8590062705123795
1,great place to have a couple drinks and watch any and all sporting events as the walls are covered with tvs,neg,0.3998767940641125,0.6001232059358859
-1,if it were possible to give them zero stars theyd have it,neg,0.16800836451415002,0.8319916354858501
-1,the descriptions said yum yum sauce and another said eel sauce yet another said spicy mayowell none of the rolls had sauces on them,neg,0.35736126576967786,0.6426387342303204
1,id say that would be the hardest decision honestly all of ms dishes taste how they are supposed to taste amazing,neg,0.37449817465753016,0.625501825342471
-1,if she had not rolled the eyes we may have stayed not sure if we will go back and try it again,pos,0.5064974483423749,0.49350255165762463
1,everyone is very attentive providing excellent customer service,pos,0.9936528291769076,0.0063471708230917875
-1,horrible  dont waste your time and money,neg,0.011559486953654555,0.9884405130463463
1,now this dish was quite flavourful,pos,0.5811817108870572,0.41881828911294233
-1,by this time our side of the restaurant was almost empty so there was no excuse,neg,0.29325002486787416,0.7067499751321248
-1,it wasnt busy either also the building was freezing cold,pos,0.8859400170249163,0.11405998297508342
-1,like the other reviewer said you couldnt pay me to eat at this place again,pos,0.5223697325898728,0.47763026741012676
-1,drinks took close to  minutes to come out at one point,neg,0.48064475420283953,0.5193552457971603
1,seriously flavorful delights folks,pos,0.6609172095811554,0.3390827904188451
1,much better than the other ayce sushi place i went to in vegas,neg,0.4193027996955996,0.5806972003044008
1,the lighting is just dark enough to set the mood,pos,0.7862864162591355,0.21371358374086494
-1,based on the subpar service i received and no effort to show their gratitude for my business i wont be going back,pos,0.5332825030142551,0.4667174969857452
1,owners are really great people,pos,0.7316221137197392,0.2683778862802605
-1,there is nothing privileged about workingeating there,pos,0.8437185594807304,0.15628144051926954
1,the greek dressing was very creamy and flavorful,pos,0.7015569246892488,0.29844307531075054
-1,overall i dont think that i would take my parents to this place again because they made most of the similar complaints that i silently felt too,pos,0.7294850726853622,0.27051492731463744
1,now the pizza itself was good the peanut sauce was very tasty,pos,0.9856045574757011,0.014395442524298136
1,we had  at our table and the service was pretty fast,neg,0.4460660653331244,0.5539339346668765
1,fantastic service here,pos,0.7737019987180235,0.22629800128197636
-1,i as well wouldve given godfathers zero stars if possible,neg,0.23383355982604595,0.7661664401739544
1,they know how to make them here,neg,0.400629802998677,0.5993701970013232
-1,very tough and very short on flavor,pos,0.5546031521125887,0.44539684788741113
1,i hope this place sticks around,pos,0.5551536765868262,0.4448463234131744
-1,i have been in more than a few bars in vegas and do not ever recall being charged for tap water,pos,0.849276826450013,0.1507231735499879
1,the restaurant atmosphere was exquisite,pos,0.8954697477008512,0.10453025229914874
1,good service very clean and inexpensive to boot,pos,0.7117832345354812,0.28821676546451974
1,the seafood was fresh and generous in portion,neg,0.4955626866201181,0.5044373133798812
1,plus its only  bucks,neg,0.46573180472990894,0.5342681952700912
-1,the service was not up to par either,neg,0.40056321830445857,0.5994367816955413
1,thus far have only visited twice and the food was absolutely delicious each time,pos,0.727382974856738,0.27261702514326075
1,just as good as when i had it more than a year ago,pos,0.5163283005728805,0.48367169942711924
-1,for a self proclaimed coffee cafe i was wildly disappointed,pos,0.810468035657737,0.18953196434226377
1,the veggitarian platter is out of this world,pos,0.5803431761504991,0.41965682384950054
1,you cant go wrong with any of the food here,neg,0.37281255851911976,0.6271874414808807
1,you cant beat that,neg,0.46532724776332185,0.5346727522366779
1,stopped by this place while in madison for the ironman very friendly kind staff,pos,0.5587840363256665,0.4412159636743324
1,the chefs were friendly and did a good job,pos,0.6148197499792479,0.38518025002075257
-1,ive had better not only from dedicated boba tea spots but even from jenni pho,neg,0.49016503096659547,0.5098349690334048
1,i liked the patio and the service was outstanding,pos,0.9345122404716202,0.06548775952837996
1,the goat taco didnt skimp on the meat and wow what flavor,neg,0.1537437978770652,0.8462562021229345
-1,i think not again,neg,0.4822302945737631,0.5177697054262369
-1,i had the mac salad and it was pretty bland so i will not be getting that again,neg,0.24644710829260424,0.7535528917073984
1,i went to bachi burger on a friends recommendation and was not disappointed,pos,0.5980085606766894,0.4019914393233104
-1,service stinks here,neg,0.13140237083426523,0.8685976291657341
-1,i waited and waited,pos,0.5277777777777775,0.4722222222222222
-1,this place is not quality sushi it is not a quality restaurant,pos,0.5544265099511159,0.44557349004888447
1,i would definitely recommend the wings as well as the pizza,pos,0.9262213099193195,0.07377869008068001
1,great pizza and salads,pos,0.904576338928856,0.0954236610711428
-1,things that went wrong  they burned the saganaki,neg,0.33822292759669015,0.6617770724033096
-1,we waited an hour for what was a breakfast i could have done  times better at home,neg,0.4481668114520992,0.5518331885479019
1,this place is amazing,pos,0.6625543882786119,0.3374456117213882
-1,i hate to disagree with my fellow yelpers but my husband and i were so disappointed with this place,pos,0.8635571818107832,0.13644281818921603
-1,waited  hours  never got either of our pizzas as many other around us who came in later did,neg,0.23335008491889056,0.7666499150811071
-1,just dont know why they were so slow,neg,0.06030532238789322,0.9396946776121059
1,the staff is great the food is delish and they have an incredible beer selection,pos,0.8482191567044464,0.15178084329555366
-1,i live in the neighborhood so i am disappointed i wont be back here because it is a convenient location,neg,0.3606833330869554,0.6393166669130467
1,i didnt know pulled pork could be soooo delicious,pos,0.8109855948566538,0.18901440514334772
1,you get incredibly fresh fish prepared with care,pos,0.6684649933850609,0.3315350066149396
-1,before i go in to why i gave a  star rating please know that this was my third time eating at bachi burger before writing a review,neg,0.21058070193462097,0.7894192980653794
1,i love the fact that everything on their menu is worth it,pos,0.5711696624675732,0.4288303375324262
-1,never again will i be dining at this place,pos,0.6996623236380769,0.3003376763619234
1,the food was excellent and service was very good,pos,0.796351001783517,0.20364899821648294
1,good beer  drink selection and good food selection,pos,0.5545398202665011,0.44546017973349883
-1,please stay away from the shrimp stir fried noodles,neg,0.48374724216545484,0.516252757834543
-1,the potato chip order was sad i could probably count how many chips were in that box and it was probably around ,pos,0.9808126617218877,0.01918733827811432
-1,food was really boring,neg,0.21457769973898555,0.7854223002610149
1,good servicecheck,pos,0.5042265426880812,0.4957734573119189
-1,this greedy corporation will never see another dime from me,pos,0.6706764529633936,0.3293235470366074
-1,will never ever go back,pos,0.5950125106780968,0.40498748932190287
-1,as much as id like to go back i cant get passed the atrocious service and will never return,neg,0.1359375667549816,0.8640624332450167
1,in the summer you can dine in a charming outdoor patio  so very delightful,pos,0.9435075106764682,0.05649248932353225
1,i did not expect this to be so good,pos,0.5128277671332954,0.4871722328667044
1,fantastic food,pos,0.7957746478873244,0.204225352112676
-1,she ordered a toasted english muffin that came out untoasted,pos,0.9376217639560896,0.062378236043909914
1,the food was very good,pos,0.546037781373257,0.4539622186267428
-1,never going back,neg,0.49974937265500674,0.500250627344993
1,great food for the price which is very high quality and house made,pos,0.764740125212151,0.23525987478784852
-1,the bus boy on the other hand was so rude,pos,0.7502237160007742,0.2497762839992252
-1,by this point my friends and i had basically figured out this place was a joke and didnt mind making it publicly and loudly known,neg,0.1533411970739319,0.8466588029260678
1,back to good bbq lighter fare reasonable pricing and tell the public they are back to the old ways,pos,0.7951138293114065,0.20488617068859294
1,and considering the two of us left there very full and happy for about  you just cant go wrong,pos,0.5455744620137272,0.4544255379862727
1,all the bread is made inhouse,pos,0.6772433506012432,0.3227566493987568
-1,the only downside is the service,pos,0.9467157516395049,0.053284248360495626
-1,also the fries are without a doubt the worst fries ive ever had,neg,0.174886689680419,0.8251133103195809
1,service was exceptional and food was a good as all the reviews,pos,0.8295318618498215,0.17046813815017825
1,a couple of months later i returned and had an amazing meal,pos,0.5219063021526709,0.47809369784732847
1,favorite place in town for shawarrrrrrma,pos,0.6867945387893206,0.31320546121067955
1,the black eyed peas and sweet potatoes unreal,pos,0.6156853297301669,0.3843146702698338
1,you wont be disappointed,pos,0.617657074748851,0.3823429252511491
1,they could serve it with just the vinaigrette and it may make for a better overall dish but it was still very good,pos,0.7497990855342624,0.25020091446573717
-1,i go to far too many places and ive never seen any restaurant that serves a  egg breakfast especially for ,pos,0.7377126796497482,0.262287320350253
-1,when my mom and i got home she immediately got sick and she only had a few bites of salad,pos,0.6236669831620592,0.37633301683794
-1,the servers are not pleasant to deal with and they dont always honor pizza hut coupons,pos,0.8370802126729912,0.16291978732700632
1,both of them were truly unbelievably good and i am so glad we went back,pos,0.5427828875330027,0.4572171124669966
1,we had fantastic service and were pleased by the atmosphere,pos,0.9240126858610865,0.07598731413891278
