Review_new	Positive	Negative
 really really good rice all the time.	3	-1
the service was meh.	1	-1
it took over  min to get their milkshake which was nothing more than chocolate milk.	1	-1
i guess i should have known that this place would suck because it is inside of the excalibur but i didnt use my common sense.	1	-1
the scallop dish is quite appalling for value as well.	2	-4
 times  very bad customer service .	1	-3
the sweet potato fries were very good and seasoned well.	3	-1
today is the second time ive been to their lunch buffet and it was pretty good.	3	-1
there is so much good food in vegas that i feel cheated for wasting an eating opportunity by going to rice and company.	2	-3
coming here is like experiencing an underwhelming relationship where both parties cant wait for the other person to ask to break up.	2	-1
walked in and the place smelled like an old grease trap and only  others there eating.	2	-2
the turkey and roast beef were bland.	1	-2
this place has it.	1	-1
the pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.	2	-2
i love the pho and the spring rolls oh so yummy you have to try.	3	-1
the poor batter to meat ratio made the chicken tenders very unsatisfying.	1	-2
all i have to say is the food was amazing.	3	-1
omelets are to die for.	1	-1
everything was fresh and delicious.	3	-1
in summary this was a largely disappointing dining experience.	1	-2
its like a really sexy party in your mouth where youre outrageously flirting with the hottest person at the party.	4	-3
never been to hard rock casino before will never ever step forward in it again.	2	-1
best breakfast buffet.	2	-1
say bye bye to your tip lady.	1	-1
well never go again.	1	-1
will be back again.	1	-1
food arrived quickly.	1	-1
it was not good.	1	-2
on the up side their cafe serves really good food.	3	-1
our server was fantastic and when he found out the wife loves roasted garlic and bone marrow he added extra to our meal and another marrow to go.	3	-1
the only good thing was our waiter he was very helpful and kept the bloddy marys coming.	3	-1
best buffet in town for the price you cannot beat it.	2	-1
i loved their mussels cooked in this wine reduction the duck was tender and their potato dishes were delicious.	4	-1
this is one of the better buffets that i have been to.	1	-1
so we went to tigerlilly and had a fantastic afternoon.	3	-1
the food was delicious our bartender was attentive and personable and we got a great deal.	3	-1
the ambience is wonderful and there is music playing.	3	-1
will go back next trip out.	1	-1
sooooo good.	2	-1
real sushi lovers lets be honest  yama is not that good.	4	-2
at least min passed in between us ordering and the food arriving and it wasnt that busy.	1	-1
this is a really fantastic thai restaurant which is definitely worth a visit.	4	-1
nice spicy and tender.	3	-1
good prices.	2	-1
check it out.	1	-1
it was pretty gross.	3	-2
ive had better atmosphere.	1	-1
kind of hard to mess up a steak but they did.	2	-1
although i very much liked the look and sound of this place the actual experience was a bit disappointing.	3	-2
i just dont know how this place managed to served the blandest food i have ever eaten when they are preparing indian cuisine.	1	-1
worst service to boot but that is the least of their worries.	1	-4
service was fine and the waitress was friendly.	3	-1
the guys all had steaks and our steak loving son who has had steak at the best and worst places said it was the best steak hes ever eaten.	4	-3
we thought youd have to venture further away to get good sushi but this place really hit the spot that night.	2	-1
host staff were for lack of a better word bitches.	1	-2
bland not a liking this place for a number of reasons and i dont want to waste time on bad reviewing ill leave it at that.	1	-3
phenomenal food service and ambiance.	1	-1
i wouldnt return.	1	-1
definitely worth venturing off the strip for the pork belly will return next time im in vegas.	1	-1
this place is way too overpriced for mediocre food.	1	-2
penne vodka excellent.	4	-1
they have a good selection of food including a massive meatloaf sandwich a crispy chicken wrap a delish tuna melt and some tasty burgers.	2	-1
the management is rude.	1	-3
delicious nyc bagels good selections of cream cheese real lox with capers even.	3	-1
great subway in fact its so good when you come here every other subway will not meet your expectations.	3	-1
i had a seriously solid breakfast here.	1	-1
this is one of the best bars with food in vegas.	2	-1
he was extremely rude and really there are so many other restaurants i would love to dine at during a weekend in vegas.	2	-5
my drink was never empty and he made some really great menu suggestions.	4	-1
dont do it.	1	-1
the waiter wasnt helpful or friendly and rarely checked on us.	2	-1
my husband and i ate lunch here and were very disappointed with the food and service.	1	-3
and the red curry had so much bamboo shoots and wasnt very tasty to me.	1	-2
nice blanket of moz over top but i feel like this was done to cover up the subpar food.	2	-1
the bathrooms are clean and the place itself is well decorated.	1	-1
the menu is always changing food quality is going down  service is extremely slow.	1	-1
the service was a little slow  considering that were served by  people servers so the food was coming in a slow pace.	1	-1
i give it  thumbs down.	1	-1
we watched our waiter pay a lot more attention to other tables and ignore us.	1	-1
my fianc and i came in the middle of the day and we were greeted and seated right away.	1	-1
this is a great restaurant at the mandalay bay.	3	-1
we waited for forty five minutes in vain.	1	-3
crostini that came with the salad was stale.	1	-2
some highlights  great quality nigiri here.	3	-1
the staff is friendly and the joint is always clean.	2	-1
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.	3	-1
i ordered the voodoo pasta and it was the first time id had really excellent pasta since going gluten free several years ago.	5	-1
this place is good.	2	-1
unfortunately we must have hit the bakery on leftover day because everything we ordered was stale.	1	-2
i came back today since they relocated and still not impressed.	1	-2
i was seated immediately.	1	-1
their menu is diverse and reasonably priced.	1	-1
avoid at all cost.	1	-2
restaurant is always full but never a wait.	1	-1
delicious.	3	-1
this place is handsdown one of the best places to eat in the phoenix metro area.	2	-1
so dont go there if you are looking for good food.	2	-1
ive never been treated so bad.	1	-2
bacon is hella salty.	1	-1
we also ordered the spinach and avocado salad the ingredients were sad and the dressing literally had zero taste.	1	-4
this really is how vegas fine dining used to be right down to the menus handed to the ladies that have no prices listed.	3	-1
the waitresses are very friendly.	3	-1
lordy the khao soi is a dish that is not to be missed for curry lovers.	4	-2
everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.	4	-1
perhaps i caught them on an off night judging by the other reviews but im not inspired to go back.	1	-3
the service here leaves a lot to be desired.	1	-1
the atmosphere is modern and hip while maintaining a touch of coziness.	2	-1
not a weekly haunt but definitely a place to come back to every once in a while.	1	-2
we literally sat there for  minutes with no one asking to take our order.	1	-1
the burger had absolutely no flavor  the meat itself was totally bland the burger was overcooked and there was no charcoal flavor.	1	-3
i also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.	2	-3
i dressed up to be treated so rudely.	1	-3
it was probably dirt.	1	-2
love this place hits the spot when i want something healthy but not lacking in quantity or flavor.	3	-1
i ordered the lemon raspberry ice cocktail which was also incredible.	1	-1
the food sucked which we expected but it sucked more than we could have imagined.	1	-2
interesting decor.	2	-1
what i really like there is the crepe station.	3	-1
also were served hot bread and butter and home made potato chips with bacon bits on topvery original and very good.	3	-1
you can watch them preparing the delicious food.	3	-1
both of the egg rolls were fantastic.	3	-1
when my order arrived one of the gyros was missing.	1	-1
i had a salad with the wings and some ice cream for dessert and left feeling quite satisfied.	2	-1
im not really sure how joeys was voted best hot dog in the valley by readers of phoenix magazine.	2	-1
the best place to go for a tasty bowl of pho.	2	-1
the live music on fridays totally blows.	1	-1
ive never been more insulted or felt disrespected.	1	-3
very friendly staff.	3	-1
it is worth the drive.	1	-1
i had heard good things about this place but it exceeding every hope i could have dreamed of.	3	-1
food was great and so was the serivce.	3	-1
the warm beer didnt help.	1	-1
great brunch spot.	3	-1
service is friendly and inviting.	2	-1
very good lunch spot.	3	-1
ive lived here since  and this was the first and last time ive stepped foot into this place.	1	-1
the worst experience ever.	1	-3
must have been an off night at this place.	1	-1
the sides are delish  mixed mushrooms yukon gold puree white corn  beateous.	1	-1
if that bug never showed up i would have given a  for sure but on the other side of the wall where this bug was climbing was the kitchen.	1	-2
for about  minutes we were waiting for her salad when we realized that it wasnt coming any time soon.	1	-1
my friend loved the salmon tartar.	4	-1
wont go back.	1	-1
extremely tasty.	1	-1
waitress was good though.	2	-1
soggy and not good.	1	-2
the jamaican mojitos are delicious.	3	-1
which are small and not worth the price.	1	-1
 the food is rich so order accordingly.	1	-1
the shower area is outside so you can only rinse not take a full shower unless you dont mind being nude for everyone to see.	1	-1
the service was a bit lacking.	1	-1
lobster bisque bussell sprouts risotto filet all needed salt and pepperand of course there is none at the tables.	1	-1
hopefully this bodes for them going out of business and someone who can cook can come in.	1	-1
it was either too cold not enough flavor or just bad.	1	-2
i loved the bacon wrapped dates.	4	-1
this is an unbelievable bargain.	1	-2
the folks at otto always make us feel so welcome and special.	2	-1
as for the mains also uninspired.	1	-1
this is the place where i first had pho and it was amazing.	3	-1
this wonderful experience made this place a muststop whenever we are in town again.	3	-1
if the food isnt bad enough for you then enjoy dealing with the worlds worstannoying drunk people.	3	-2
very very fun chef.	3	-1
ordered a double cheeseburger  got a single patty that was falling apart picture uploaded yeah still sucks.	1	-2
great place to have a couple drinks and watch any and all sporting events as the walls are covered with tvs.	3	-1
if it were possible to give them zero stars theyd have it.	1	-1
the descriptions said yum yum sauce and another said eel sauce yet another said spicy mayowell none of the rolls had sauces on them.	1	-1
id say that would be the hardest decision honestly all of ms dishes taste how they are supposed to taste amazing.	3	-1
if she had not rolled the eyes we may have stayed not sure if we will go back and try it again.	1	-1
everyone is very attentive providing excellent customer service.	4	-1
horrible  dont waste your time and money.	2	-4
now this dish was quite flavourful.	1	-1
by this time our side of the restaurant was almost empty so there was no excuse.	1	-1
it wasnt busy either also the building was freezing cold.	1	-2
like the other reviewer said you couldnt pay me to eat at this place again.	2	-1
drinks took close to  minutes to come out at one point.	1	-1
seriously flavorful delights folks.	3	-1
much better than the other ayce sushi place i went to in vegas.	1	-1
the lighting is just dark enough to set the mood.	1	-1
based on the subpar service i received and no effort to show their gratitude for my business i wont be going back.	2	-1
owners are really great people.	4	-1
there is nothing privileged about workingeating there.	2	-1
the greek dressing was very creamy and flavorful.	1	-1
overall i dont think that i would take my parents to this place again because they made most of the similar complaints that i silently felt too.	1	-2
now the pizza itself was good the peanut sauce was very tasty.	2	-1
we had  at our table and the service was pretty fast.	3	-1
fantastic service here.	3	-1
i as well wouldve given godfathers zero stars if possible.	1	-1
they know how to make them here.	1	-1
very tough and very short on flavor.	1	-3
i hope this place sticks around.	3	-1
i have been in more than a few bars in vegas and do not ever recall being charged for tap water.	1	-2
the restaurant atmosphere was exquisite.	1	-1
good service very clean and inexpensive to boot.	2	-1
the seafood was fresh and generous in portion.	2	-1
plus its only  bucks.	1	-1
the service was not up to par either.	1	-1
thus far have only visited twice and the food was absolutely delicious each time.	4	-1
just as good as when i had it more than a year ago.	2	-1
for a self proclaimed coffee cafe i was wildly disappointed.	1	-2
the veggitarian platter is out of this world.	1	-1
you cant go wrong with any of the food here.	2	-1
you cant beat that.	1	-1
stopped by this place while in madison for the ironman very friendly kind staff.	3	-1
the chefs were friendly and did a good job.	2	-1
ive had better not only from dedicated boba tea spots but even from jenni pho.	1	-1
i liked the patio and the service was outstanding.	3	-1
the goat taco didnt skimp on the meat and wow what flavor.	3	-1
i think not again.	1	-1
i had the mac salad and it was pretty bland so i will not be getting that again.	3	-2
i went to bachi burger on a friends recommendation and was not disappointed.	2	-1
service stinks here.	1	-3
i waited and waited.	1	-1
this place is not quality sushi it is not a quality restaurant.	1	-1
i would definitely recommend the wings as well as the pizza.	1	-1
great pizza and salads.	3	-1
things that went wrong  they burned the saganaki.	1	-2
we waited an hour for what was a breakfast i could have done  times better at home.	1	-1
this place is amazing.	3	-1
i hate to disagree with my fellow yelpers but my husband and i were so disappointed with this place.	1	-4
waited  hours  never got either of our pizzas as many other around us who came in later did.	1	-1
just dont know why they were so slow.	1	-1
the staff is great the food is delish and they have an incredible beer selection.	3	-1
i live in the neighborhood so i am disappointed i wont be back here because it is a convenient location.	1	-2
i didnt know pulled pork could be soooo delicious.	3	-1
you get incredibly fresh fish prepared with care.	2	-1
before i go in to why i gave a  star rating please know that this was my third time eating at bachi burger before writing a review.	2	-1
i love the fact that everything on their menu is worth it.	3	-1
never again will i be dining at this place.	1	-1
the food was excellent and service was very good.	4	-1
good beer  drink selection and good food selection.	2	-1
please stay away from the shrimp stir fried noodles.	2	-1
the potato chip order was sad i could probably count how many chips were in that box and it was probably around .	1	-4
food was really boring.	1	-3
good servicecheck.	2	-1
this greedy corporation will never see another dime from me.	1	-3
will never ever go back.	1	-1
as much as id like to go back i cant get passed the atrocious service and will never return.	2	-4
in the summer you can dine in a charming outdoor patio  so very delightful.	4	-1
i did not expect this to be so good.	2	-1
fantastic food.	3	-1
she ordered a toasted english muffin that came out untoasted.	1	-1
the food was very good.	3	-1
never going back.	1	-1
great food for the price which is very high quality and house made.	3	-1
the bus boy on the other hand was so rude.	1	-3
by this point my friends and i had basically figured out this place was a joke and didnt mind making it publicly and loudly known.	2	-1
back to good bbq lighter fare reasonable pricing and tell the public they are back to the old ways.	2	-1
and considering the two of us left there very full and happy for about  you just cant go wrong.	2	-1
all the bread is made inhouse.	1	-1
the only downside is the service.	1	-1
also the fries are without a doubt the worst fries ive ever had.	1	-3
service was exceptional and food was a good as all the reviews.	2	-1
a couple of months later i returned and had an amazing meal.	3	-1
favorite place in town for shawarrrrrrma.	2	-1
the black eyed peas and sweet potatoes unreal.	2	-1
you wont be disappointed.	2	-1
they could serve it with just the vinaigrette and it may make for a better overall dish but it was still very good.	3	-1
i go to far too many places and ive never seen any restaurant that serves a  egg breakfast especially for .	1	-1
when my mom and i got home she immediately got sick and she only had a few bites of salad.	1	-2
the servers are not pleasant to deal with and they dont always honor pizza hut coupons.	1	-3
both of them were truly unbelievably good and i am so glad we went back.	2	-2
we had fantastic service and were pleased by the atmosphere.	3	-1
everything was gross.	1	-2
i love this place.	3	-1
great service and food.	3	-1
first  the bathrooms at this location were dirty seat covers were not replenished  just plain yucky.	1	-2
the burger i got the gold standard a  burger and was kind of disappointed.	2	-2
omg the food was delicioso.	2	-1
there is nothing authentic about this place.	1	-1
the spaghetti is nothing special whatsoever.	2	-1
of all the dishes the salmon was the best but all were great.	3	-1
the vegetables are so fresh and the sauce feels like authentic thai.	2	-1
its worth driving up from tucson.	1	-1
the selection was probably the worst ive seen in vegasthere was none.	1	-3
pretty good beer selection too.	3	-1
this place is like chipotle but better.	2	-1
classywarm atmosphere fun and fresh appetizers succulent steaks baseball steak.	2	-1
 stars for the brick oven bread app.	1	-1
i have eaten here multiple times and each time the food was delicious.	3	-1
we sat another ten minutes and finally gave up and left.	1	-1
he was terrible.	1	-4
everyone is treated equally special.	2	-1
it shouldnt take  min for pancakes and eggs.	1	-1
it was delicious.	3	-1
on the good side the staff was genuinely pleasant and enthusiastic  a real treat.	3	-1
sadly gordon ramseys steak is a place we shall sharply avoid during our next trip to vegas.	1	-2
as always the evening was wonderful and the food delicious.	3	-1
best fish ive ever had in my life.	2	-1
the bathroom is just next door and very nice.	3	-1
the buffet is small and all the food they offered was bland.	1	-2
this is an outstanding little restaurant with some of the best food i have ever tasted.	3	-1
pretty cool i would say.	3	-1
definitely a turn off for me  i doubt ill be back unless someone else is buying.	1	-2
server did a great job handling our large rowdy table.	3	-1
i find wasting food to be despicable but this just wasnt food.	1	-4
my wife had the lobster bisque soup which was lukewarm.	1	-1
would come back again if i had a sushi craving while in vegas.	1	-1
the staff are great the ambiance is great.	3	-1
he deserves  stars.	1	-1
i left with a stomach ache and felt sick the rest of the day.	1	-2
they dropped more than the ball.	1	-1
the dining space is tiny but elegantly decorated and comfortable.	2	-1
they will customize your order any way youd like my usual is eggplant with green bean stir fry love it.	3	-1
and the beans and rice were mediocre at best.	2	-2
best tacos in town by far.	2	-1
i took back my money and got outta there.	1	-1
in an interesting part of town this place is amazing.	3	-1
rude  inconsiderate management.	1	-3
the staff are now not as friendly the wait times for being served are horrible no one even says hi for the first  minutes.	1	-4
i wont be back.	1	-1
they have great dinners.	3	-1
the service was outshining  i definitely recommend the halibut.	1	-1
the food was terrible.	1	-4
will never ever go back and have told many people what had happened.	1	-1
i dont recommend unless your car breaks down in front of it and you are starving.	1	-3
i will come back here every time im in vegas.	1	-1
this place deserves one star and  has to do with the food.	1	-1
this is a disgrace.	1	-4
def coming back to bowl next time.	1	-1
if you want healthy authentic or ethic food try this place.	1	-1
i will continue to come here on ladies night andddd date night  highly recommend this place to anyone who is in the area.	2	-1
i have been here several times in the past and the experience has always been great.	3	-1
we walked away stuffed and happy about our first vegas buffet experience.	2	-1
service was excellent and prices are pretty reasonable considering this is vegas and located inside the crystals shopping mall by aria.	4	-1
to summarize the food was incredible nay transcendant but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.	3	-2
im probably one of the few people to ever go to ians and not like it.	1	-2
kids pizza is always a hit too with lots of great side dish options for the kiddos.	3	-1
service is perfect and the family atmosphere is nice to see.	2	-1
cooked to perfection and the service was impeccable.	2	-1
this one is simply a disappointment.	1	-2
overall i was very disappointed with the quality of food at bouchon.	1	-3
i dont have to be an accountant to know im getting screwed.	1	-1
great place to eat reminds me of the little mom and pop shops in the san francisco bay area.	3	-1
today was my first taste of a buldogis gourmet hot dog and i have to tell you it was more than i ever thought possible.	1	-1
left very frustrated.	1	-4
ill definitely be in soon again.	1	-2
food was really good and i got full petty fast.	3	-1
service was fantastic.	3	-1
total waste of time.	1	-3
i dont know what kind it is but they have the best iced tea.	2	-1
come hungry leave happy and stuffed.	2	-2
for service i give them no stars.	1	-1
i can assure you that you wont be disappointed.	2	-1
i can take a little bad service but the food sucks.	1	-2
gave up trying to eat any of the crust teeth still sore.	1	-2
but now i was completely grossed out.	1	-3
i really enjoyed eating here.	4	-1
first time going but i think i will quickly become a regular.	1	-1
our server was very nice and even though he looked a little overwhelmed with all of our needs he stayed professional and friendly until the end.	3	-3
from what my dinner companions told meeverything was very fresh with nice texture and taste.	2	-1
on the ground right next to our table was a large smeared beensteppedinandtrackedeverywhere pile of green bird poop.	1	-2
furthermore you cant even find hours of operation on the website.	1	-1
weve tried to like this place but after  times i think were done with them.	2	-1
what a mistake that was.	1	-2
no complaints.	1	-2
this is some seriously good pizza and im an expertconnisseur on the topic.	2	-1
waiter was a jerk.	1	-3
strike  who wants to be rushed.	1	-2
these are the nicest restaurant owners ive ever come across.	2	-1
i never come again.	1	-1
we loved the biscuits.	4	-1
service is quick and friendly.	2	-1
ordered an appetizer and took  minutes and then the pizza another  minutes.	1	-1
so absolutley fantastic.	3	-1
it was a huge awkward lb piece of cow that was ths gristle and fat.	1	-2
definitely will come back here again.	1	-1
i like steiners because its dark and it feels like a bar.	2	-1
wow very spicy but delicious.	3	-1
if youre not familiar check it out.	1	-1
ill take my business dinner dollars elsewhere.	1	-2
id love to go back.	3	-1
anyway this fs restaurant has a wonderful breakfastlunch.	3	-1
nothing special.	2	-1
each day of the week they have a different deal and its all so delicious.	3	-1
not to mention the combination of pears almonds and bacon is a big winner.	2	-1
will not be back.	1	-1
sauce was tasteless.	1	-1
the food is delicious and just spicy enough so be sure to ask for spicier if you prefer it that way.	3	-1
my ribeye steak was cooked perfectly and had great mesquite flavor.	3	-1
i dont think well be going back anytime soon.	1	-1
food was so gooodd.	3	-1
i am far from a sushi connoisseur but i can definitely tell the difference between good food and bad food and this was certainly bad food.	2	-2
i was so insulted.	1	-3
the last  times i had lunch here has been bad.	1	-2
the chicken wings contained the driest chicken meat i have ever eaten.	1	-1
the food was very good and i enjoyed every mouthful an enjoyable relaxed venue for couples small family groups etc.	4	-1
nargile  i think you are great.	3	-1
best tater tots in the southwest.	2	-1
we loved the place.	4	-1
definitely not worth the  i paid.	1	-1
the vanilla ice cream was creamy and smooth while the profiterole choux pastry was fresh enough.	2	-1
im in az all the time and now have my new spot.	1	-1
the manager was the worst.	1	-3
the inside is really quite nice and very clean.	2	-1
the food was outstanding and the prices were very reasonable.	3	-1
i dont think ill be running back to carlys anytime soon for food.	2	-1
this is was due to the fact that it took  minutes to be acknowledged then another  minutes to get our foodand they kept forgetting things.	1	-1
love the margaritas too.	3	-1
this was my first and only vegas buffet and it did not disappoint.	2	-1
very good though.	3	-1
the one down note is the ventilation could use some upgrading.	1	-1
great pork sandwich.	3	-1
dont waste your time here.	2	-1
total letdown i would much rather just go to the camelback flower shop and cartel coffee.	1	-1
third the cheese on my friends burger was cold.	2	-2
we enjoy their pizza and brunch.	3	-1
the steaks are all well trimmed and also perfectly cooked.	2	-1
we had a group of  when we claimed we would only have  and they handled us beautifully.	3	-1
i loved it.	4	-1
we asked for the bill to leave without eating and they didnt bring that either.	1	-1
this place is a jewel in las vegas and exactly what ive been hoping to find in nearly ten years living here.	2	-1
seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.	1	-1
the selection of food was not the best.	1	-2
delicious and i will absolutely be back.	3	-1
this isnt a small family restaurant this is a fine dining establishment.	3	-1
they had a toro tartare with a cavier that was extraordinary and i liked the thinly sliced wagyu with white truffle.	3	-1
i dont think i will be back for a very long time.	1	-1
it was attached to a gas station and that is rarely a good sign.	2	-1
how awesome is that.	3	-1
i will be back many times soon.	1	-1
the menu had so much good stuff on it i could not decide.	2	-1
worse of all he humiliated his worker right in front of mebunch of horrible name callings.	1	-4
conclusion very filling meals.	1	-1
their daily specials are always a hit with my group.	2	-1
and then tragedy struck.	1	-3
the pancake was also really good and pretty large at that.	3	-1
this was my first crawfish experience and it was delicious.	3	-1
their monster chicken fried steak and eggs is my all time favorite.	2	-2
waitress was sweet and funny.	2	-1
i also had to taste my moms multigrain pumpkin pancakes with pecan butter and they were amazing fluffy and delicious.	3	-1
id rather eat airline food seriously.	1	-1
cant say enough good things about this place.	2	-1
the ambiance was incredible.	1	-1
the waitress and manager are so friendly.	2	-1
i would not recommend this place.	1	-1
overall i wasnt very impressed with noca.	3	-1
my gyro was basically lettuce only.	1	-1
terrible service.	1	-4
thoroughly disappointed.	1	-2
i dont each much pasta but i love the homemade hand made pastas and thin pizzas here.	3	-1
give it a try you will be happy you did.	2	-1
by far the best cheesecurds we have ever had.	2	-1
reasonably priced also.	1	-1
everything was perfect the night we were in.	2	-1
the food is very good for your typical bar food.	3	-1
it was a drive to get there.	1	-1
at first glance it is a lovely bakery cafe  nice ambiance clean friendly staff.	2	-1
anyway i do not think i will go back there.	1	-1
point your finger at any item on the menu order it and you wont be disappointed.	2	-1
oh this is such a thing of beauty this restaurant.	3	-1
if you havent gone here go now.	1	-1
a greasy unhealthy meal.	1	-2
first time there and might just be the last.	1	-1
those burgers were amazing.	3	-1
similarly the delivery man did not say a word of apology when our food was  minutes late.	1	-1
and it was way to expensive.	1	-2
be sure to order dessert even if you need to pack it togo  the tiramisu and cannoli are both to die for.	1	-1
this was my first time and i cant wait until the next.	1	-1
the bartender was also nice.	2	-1
everything was good and tasty.	2	-1
this place is two thumbs upway up.	1	-1
the best place in vegas for breakfast just check out a sat or sun.	2	-1
if you love authentic mexican food and want a whole bunch of interesting yet delicious meats to choose from you need to try this place.	3	-1
terrible management.	1	-4
an excellent new restaurant by an experienced frenchman.	4	-1
if there were zero stars i would give it zero stars.	1	-1
great steak great sides great wine amazing desserts.	3	-1
worst martini ever.	1	-3
the steak and the shrimp are in my opinion the best entrees at gc.	2	-1
i had the opportunity today to sample your amazing pizzas.	3	-1
we waited for thirty minutes to be seated although there were  vacant tables and we were the only folks waiting.	1	-1
the yellowtail carpaccio was melt in your mouth fresh.	1	-1
i wont try going back there even if its empty.	1	-1
no im going to eat the potato that i found some strangers hair in it.	1	-1
just spicy enough perfect actually.	2	-1
last night was my second time dining here and i was so happy i decided to go back.	2	-1
not even a hello we will be right with you.	1	-1
the desserts were a bit strange.	1	-1
my boyfriend and i came here for the first time on a recent trip to vegas and could not have been more pleased with the quality of food and service.	2	-1
i really do recommend this place you can go wrong with this donut place.	1	-2
nice ambiance.	2	-1
i would recommend saving room for this.	1	-1
i guess maybe we went on an off night but it was disgraceful.	1	-4
however my recent experience at this particular location was not so good.	1	-2
i know this is not like the other restaurants at all something is very off here.	1	-2
avoid this establishment.	1	-2
i think this restaurant suffers from not trying hard enough.	1	-4
all of the tapas dishes were delicious.	3	-1
i heart this place.	1	-1
my salad had a bland vinegrette on the baby greens and hearts of palm.	2	-2
after two i felt disgusting.	1	-4
a good time.	2	-1
i believe that this place is a great stop for those with a huge belly and hankering for sushi.	3	-1
generous portions and great taste.	3	-1
i will never go back to this place and will never ever recommended this place to anyone.	1	-1
the servers went back and forth several times not even so much as an are you being helped.	1	-1
food was delicious.	3	-1
an hour seriously.	1	-1
i consider this theft.	1	-2
eew this location needs a complete overhaul.	1	-1
we recently witnessed her poor quality of management towards other guests as well.	1	-2
waited and waited and waited.	1	-1
he also came back to check on us regularly excellent service.	4	-1
our server was super nice and checked on us many times.	3	-1
the pizza tasted old super chewy in not a good way.	3	-2
i swung in to give them a try but was deeply disappointed.	1	-2
service was good and the company was better.	2	-1
the staff are also very friendly and efficient.	3	-1
as for the service im a fan because its quick and youre being served by some nice folks.	1	-1
boy was that sucker dry.	1	-2
over rated.	1	-1
if you look for authentic thai food go else where.	1	-1
their steaks are  recommended.	1	-1
after i pulled up my car i waited for another  minutes before being acknowledged.	1	-1
great food and great service in a clean and friendly setting.	3	-1
